QuestionLink,correct,category,optionA,optionB,optionC,optionD
https://i.imgur.com/PR14l6u.png,c,2.1,A,B,C,D
https://i.imgur.com/Rk1S06v.png,c,2.1,A,B,C,D
https://i.imgur.com/QvQ7Mxm.png,c,2.1,A,B,C,D
https://i.imgur.com/1hMHN9Z.png,b,2.1,A,B,C,D
https://i.imgur.com/LcIN2VZ.png,d,7.1,A,B,C,D
https://i.imgur.com/sx1uAvw.png,c,7.1,A,B,C,D
https://i.imgur.com/33zGo4K.png,d,7.1,A,B,C,D
https://i.imgur.com/QcQtfjM.png,d,10.1,A,B,C,D
https://i.imgur.com/fr5Cd0C.png,b,17.1,A,B,C,D
https://i.imgur.com/wSljxCs.png,a,9.1,A,B,C,D
https://i.imgur.com/M9y1pG8.png,b,11.1,A,B,C,D
https://i.imgur.com/J1EFu5y.png,d,19.1,A,B,C,D
https://i.imgur.com/y0I62QF.png,a,15.1,A,B,C,D
https://i.imgur.com/2K0tP6D.png,c,3.4,A,B,C,D
https://i.imgur.com/vt55W2J.png,b,20.1,A,B,C,D
https://i.imgur.com/lCq6vKA.png,c,1.2,A,B,C,D
https://i.imgur.com/quP5l7k.png,d,15.1,A,B,C,D
https://i.imgur.com/UJ4w9sN.png,d,25.1,A,B,C,D
https://i.imgur.com/2dbi5Sg.png,c,5.1,A,B,C,D
https://i.imgur.com/cRMD0CB.png,c,1.1,A,B,C,D
https://i.imgur.com/2vpcPeX.png,d,1.4,A,B,C,D
https://i.imgur.com/uVaIegg.png,a,16.1,A,B,C,D
