QuestionLink,correct,category,optionA,optionB,optionC,optionD
https://i.imgur.com/Vj4rZuf.png,c,2.1,A,B,C,D
https://i.imgur.com/Lhvk996.png,c,2.1,A,B,C,D
https://i.imgur.com/FwLafff.png,a,2.1,A,B,C,D
https://i.imgur.com/Nh6pdS5.png,c,2.1,A,B,C,D
https://i.imgur.com/7byDAmz.png,b,2.1,A,B,C,D
https://i.imgur.com/8whepiL.png,a,2.1,A,B,C,D
https://i.imgur.com/YfG44hg.png,b,7.1,A,B,C,D
https://i.imgur.com/0zDQ4sg.png,a,7.1,A,B,C,D
https://i.imgur.com/aU8m8jM.png,a,7.1,A,B,C,D
https://i.imgur.com/wMsYEGv.png,a,7.1,A,B,C,D
https://i.imgur.com/HUfJ2L2.png,c,7.1,A,B,C,D
https://i.imgur.com/LUeJUAu.png,b,7.1,A,B,C,D
https://i.imgur.com/YMVB0Fk.png,c,17.1,A,B,C,D
https://i.imgur.com/DSQ770h.png,a,17.1,A,B,C,D
https://i.imgur.com/4D62n9Q.png,b,17.1,A,B,C,D
https://i.imgur.com/SQlfSqT.png,b,17.1,A,B,C,D
https://i.imgur.com/lfZyC7r.png,c,17.1,A,B,C,D
https://i.imgur.com/NUHwB2W.png,b,17.1,A,B,C,D
https://i.imgur.com/tmVONh0.png,d,5.1,A,B,C,D
https://i.imgur.com/MhCSyY1.png,a,5.1,A,B,C,D
https://i.imgur.com/vVoSyfI.png,b,17.1,A,B,C,D
https://i.imgur.com/D7mkEH0.png,c,17.1,A,B,C,D
https://i.imgur.com/TQD2mG6.png,d,17.1,A,B,C,D
https://i.imgur.com/UwIB9iB.png,a,17.1,A,B,C,D
https://i.imgur.com/VTVgFCi.png,b,2.9,A,B,C,D
https://i.imgur.com/x7t6gsi.png,d,19.1,A,B,C,D
https://i.imgur.com/52zUfWe.png,a,2.9,A,B,C,D
https://i.imgur.com/ekhs46h.png,c,19.1,A,B,C,D
https://i.imgur.com/KsVPzah.png,a,17.1,A,B,C,D
https://i.imgur.com/KBof1Gj.png,a,17.1,A,B,C,D
https://i.imgur.com/7zL7zJQ.png,b,16.1,A,B,C,D
https://i.imgur.com/jVqbghf.png,b,16.1,A,B,C,D
https://i.imgur.com/EU2OhAl.png,d,16.1,A,B,C,D
https://i.imgur.com/kj8FTZA.png,d,16.1,A,B,C,D
https://i.imgur.com/ofs8wvu.png,c,3.4,A,B,C,D
https://i.imgur.com/sM4DMiZ.png,c,16.1,A,B,C,D
https://i.imgur.com/3koGJU3.png,b,16.1,A,B,C,D
https://i.imgur.com/RgHEJVW.png,d,1.5,A,B,C,D
https://i.imgur.com/QDlhOFT.png,c,11.1,A,B,C,D
https://i.imgur.com/F4EBVgg.png,b,10.1,A,B,C,D
https://i.imgur.com/iilNfym.png,c,10.1,A,B,C,D
https://i.imgur.com/LLiOpkY.png,a,11.1,A,B,C,D
https://i.imgur.com/R8yQbHz.png,b,11.1,A,B,C,D
https://i.imgur.com/EWJ6F2f.png,c,1.2,A,B,C,D
https://i.imgur.com/0YY8WcS.png,a,1.4,A,B,C,D
https://i.imgur.com/ERkyBrE.png,c,1.4,A,B,C,D
https://i.imgur.com/WI9loke.png,d,1.3,A,B,C,D
https://i.imgur.com/DlLexfF.png,b,1.3,A,B,C,D
https://i.imgur.com/xfS5HDL.png,c,16.1,A,B,C,D
