QuestionLink,correct,category,optionA,optionB,optionC,optionD
https://i.imgur.com/qkcBQTA.png,d,9.1,A,B,C,D
https://i.imgur.com/Ykv2VK4.png,a,16.1,A,B,C,D
https://i.imgur.com/Dod354N.png,b,5.1,A,B,C,D
https://i.imgur.com/we61uzQ.png,b,5.1,A,B,C,D
https://i.imgur.com/6Ahq4KS.png,b,17.1,A,B,C,D
https://i.imgur.com/0cJIWjJ.png,c,7.1,A,B,C,D
https://i.imgur.com/ScwSAm9.png,c,7.1,A,B,C,D
https://i.imgur.com/TeIbyyV.png,d,7.1,A,B,C,D
https://i.imgur.com/LicQUZO.png,c,2.1,A,B,C,D
https://i.imgur.com/oxRbXKK.png,c,2.1,A,B,C,D
https://i.imgur.com/mkvc4pt.png,a,20.1,A,B,C,D
https://i.imgur.com/foDqkAs.png,b,15.1,A,B,C,D
https://i.imgur.com/xpVBgLK.png,c,17.1,A,B,C,D
https://i.imgur.com/C4HlBqe.png,a,17.1,A,B,C,D
https://i.imgur.com/szvmQjw.png,a,15.1,A,B,C,D
https://i.imgur.com/t7E6uZb.png,c,11.1,A,B,C,D
https://i.imgur.com/uM0sVfY.png,c,17.1,A,B,C,D
https://i.imgur.com/9nkKsDb.png,c,3.4,A,B,C,D
https://i.imgur.com/co75ycz.png,c,18.1,A,B,C,D
https://i.imgur.com/zmypUa4.png,b,10.1,A,B,C,D
https://i.imgur.com/ZNTpniW.png,b,10.1,A,B,C,D
https://i.imgur.com/3weo5n7.png,d,15.1,A,B,C,D
https://i.imgur.com/oBHGq8N.png,d,19.1,A,B,C,D
