Category,Answer,QuestionLink,optionA,optionB,optionC,optionD
2.1,C,https://i.imgur.com/SMm0mG0.png,A,B,C,D
2.1,C,https://i.imgur.com/6dgoata.png,A,B,C,D
2.1,D,https://i.imgur.com/vZMTOGU.png,A,B,C,D
2.1,A,https://i.imgur.com/vamB4q6.png,A,B,C,D
7.1,D,https://i.imgur.com/2i5yDt1.png,A,B,C,D
7.1,A,https://i.imgur.com/K1F6oXM.png,A,B,C,D
7.1,A,https://i.imgur.com/C2sb2NY.png,A,B,C,D
7.1,D,https://i.imgur.com/DLHfPOH.png,A,B,C,D
9.1,C,https://i.imgur.com/dZjBzfY.png,A,B,C,D
13.1,A,https://i.imgur.com/DZ3NEUY.png,A,B,C,D
11.1,D,https://i.imgur.com/IyjXqDa.png,A,B,C,D
16.1,A,https://i.imgur.com/FKwhnd1.png,A,B,C,D
9.1,A,https://i.imgur.com/tGXUzri.png,A,B,C,D
5.1,B,https://i.imgur.com/z9EwqB5.png,A,B,C,D
5.1,B,https://i.imgur.com/j6mEZff.png,A,B,C,D
3.4,B,https://i.imgur.com/5kadi1Z.png,A,B,C,D
17.1,B,https://i.imgur.com/sevSfX5.png,A,B,C,D
5.1,B,https://i.imgur.com/vWb1Xob.png,A,B,C,D
5.1,B,https://i.imgur.com/UPFUB9J.png,A,B,C,D
5.1,D,https://i.imgur.com/VKe3T0W.png,A,B,C,D
16.1,D,https://i.imgur.com/Gfij7sp.png,A,B,C,D
3.3,A,https://i.imgur.com/xAd4nze.png,A,B,C,D
1.5,A,https://i.imgur.com/mwnu0xI.png,A,B,C,D
21.1,C,https://i.imgur.com/HcSekZ7.png,A,B,C,D
20.1,C,https://i.imgur.com/8SdW2KD.png,A,B,C,D
