,Correct,OptionA,OptionB,OptionC,OptionD,Questions,Category
0, : B, N , M , O , कोई नहीं ," यदि अंग्रेजी वर्णमाला के सभी अक्षर व्युत्क्रम में लिखे जाएँ, तो दाएँ से 20वें एवं बाएँ से 21वें अक्षर के ठीक मध्य में कौन-सा अक्षर आएगा? [Postal Assistant Exam 2013] ",2.9
1, : B, T , N , U , A ," शब्द 'COMMUNICATIONS' में पहले और दूसरे, तीसरे और चौथे, पाँचवें और छठे तथा इसी प्रकार अन्य अक्षरों को परस्पर बदल दिया जाए, तो अपने दाएँ से गणना करने पर दसवाँ अक्षर कौन-सा होगा? [SSC (CGL) 2013, 2007]",2.9
2, : A, J , S, P , M ," शब्द 'INTERNATIONAL' के प्रत्येक व्यंजन को अंग्रेजी वर्णमाला में पूर्ववर्ती अक्षर से तथा प्रत्येक स्वर को परवर्ती अक्षर से प्रतिस्थापित कर दिया जाए, तो निम्नलिखित में से कौन बाईं ओर से नौवाँ होगा? [SBI (Clerk) 2012] ",2.9
3, : D, एक , दो , तीन , तीन से अधिक ," शब्द 'WONDERS' में अक्षरों के ऐसे कितने जोड़े हैं, जिनमें से प्रत्येक के बीच शब्द में उनते ही अक्षर हैं (आगे और पीछे दोनों दिशाओं में) शब्द में उतने ही अक्षर हैं, जितने कि अंग्रेजी वर्णमाला में उनके बीच होते है? [SBI (Clerk) 2012]",2.9
4, : B, कोई नहीं , एक , दो , तीन ," शब्द 'MATHMEATICS' में अक्षरों के ऐसे युग्म कितने हैं, जिनमें से प्रत्येक के बीच शब्द में उतने ही अक्षर हैं जितने कि उनके बीच वर्णमाला में होते हैं? [SBI (Clerk) 2012]",2.9
5, : B, कोई नहीं , एक , दो , तीन ," शब्द 'CAMPAIGN' के अक्षरों को अंग्रेजी वर्णमाला के क्रमानुसार व्यवस्थित किया जाए, तो कितने अक्षरों के साथ अपरिवर्तित रहेंगे? [IBPS (Clerk) 2012]",2.9
6, : A, तीन से ज्यादा , दो , एक , तीन ," शब्द BANGLE में अक्षरों के ऐसे ​कितने युग्म हैं, जिनमें से प्रत्येक में उसके दो अक्षरों के बीच (आगे तथा पीछे दोनों दिशाओं में) शब्द में उतने ही अक्षर हैं, जितने कि अंग्रेजी वर्णमाला में उनके बीच होते हैं? [SBI Associates (Clerk) 2014]",2.9
7, : C, कोई नहीं , एक , दो , तीन ," शब्द 'SPORADIC' (अग्रगामी एवं पश्चगामी दोनों) में अक्षरों के ऐसे कितने जोड़े हैं, जिनमें से प्रत्येक में उतने ही अक्षर हैं जितने कि अंग्रेजी वर्णमाला में उनके बीच हैं? [IBPS (Clerk) 2011]",2.9
8, : D, कोई नहीं , एक , दो , तीन से अधिक ," शब्द 'GOVERNMENT' में ऐसे कितने अक्षर युग्म हैं, जिनमें प्रत्येक के बीच (आगे और पीछे दोनों ओर) उतने ही अक्षर हैं, जितने कि उनके बीच अंग्रेजी वर्णमाला में होते हैं? [IBPS (Clerk) 2011]",2.9
9, : C, I , B , R , S , अंग्रेजी वर्णमाला में बाएँ से 8वें अक्षर के दाएँ 10वाँ अक्षर क्या होगा? [CISF (ConstablE) 2010] ,2.9
10, : B, I , D , H , E ," यदि 'HANDKERCHIEF' शब्द के पहले अक्षर का सातवें अक्षर से स्थान बदल दिया जाए, इसी प्रकार आगे भी, दूसरे का आठवें से और क्रमश: छठे अक्षर का बारहवें से स्थान बदल दिया जाए, तो बाएँ से 7वें अक्षर के दाएँ तीसरा अक्षर क्या होगा? [MAT 2010]",2.9
11, : D, I , U , N , S ," 'DISTURBANC' शब्द में यदि पहले अक्षर को अन्तिम अक्षर से बदल दें, दूसरे अक्षर को दसवें अक्षर से बदल दें और उसी प्रकार आगे भी, तो नये बने शब्द में 'T' के बाद कौन-सा अक्षर आएगा? [LIC (ADO) 2010]",2.9
12, : D, U , T , P , O," यदि शब्द 'UTOPIAN' के सभी अक्षरों की वर्णमाला के क्रम में बाएँ से दाएँ व्यवस्थित किया जाए और प्रत्येक स्वर को अंग्रेजी वर्णमाला श्रृंखला में अगले अक्षर से बदल दिया जाए तथा प्रत्येक व्यंजन को अंग्रेजी वर्णमाला श्रृंखला में पहले अक्षर से बदल दिया जाए, तो दाएँ से तीसरा अक्षर क्या होगा? [UBI (Clerk) 2010]",2.9
13, : B, F , E , J , I ," यदि शब्द 'FAINTED' के सभी अक्षरों को वर्णमाला के क्रम में बाएँ से दाएँ व्यवस्थित किया जा और फिर प्रत्येक स्वर को अंग्रेजी वर्णमाला श्रृंखला में अगले अक्षर से तथा प्रत्येक व्यंजन को अंग्रेजी वर्णमाला में पहले अक्षर से बदल दिया जाए, तो नई व्यवस्था में ठीक मध्य का अक्षर क्या होगा? [BOI (Clerk) 2010]",2.9
14, : B, कोई नहीं , एक , दो , तीन ," यदि शब्द 'GATHER' के प्रत्येक वर्ण को बाएँ से दाएँ अंग्रेजी वर्णमाला के अनुसार व्यवस्थित किया जाए, तो कितने वर्णों के स्थान अपरिवर्तित रहेंगे? [UBI (Clerk) 2010]",2.9
