QuestionLink,category,correct,optionA,optionB,optionC,optionD
https://i.imgur.com/Wuc8KTL.png,2.1,c,A,B,C,D
https://i.imgur.com/ayr4yDd.png,2.1,d,A,B,C,D
https://i.imgur.com/Vuihu3W.png,2.1,c,A,B,C,D
https://i.imgur.com/R7Sd8up.png,2.1,b,A,B,C,D
https://i.imgur.com/6wWmEl6.png,2.1,d,A,B,C,D
https://i.imgur.com/4UOhcHT.png,2.1,d,A,B,C,D
https://i.imgur.com/estn9N5.png,2.1,a,A,B,C,D
https://i.imgur.com/JU3QK5v.png,2.1,d,A,B,C,D
https://i.imgur.com/mn1ei13.png,2.1,b,A,B,C,D
https://i.imgur.com/IHRKccI.png,2.1,c,A,B,C,D
https://i.imgur.com/jIBBvTe.png,7.1,a,A,B,C,D
https://i.imgur.com/Ypo2H4H.png,7.1,d,A,B,C,D
https://i.imgur.com/rg3tLMf.png,7.1,c,A,B,C,D
https://i.imgur.com/hDIDK8l.png,7.1,d,A,B,C,D
https://i.imgur.com/SRPBIq5.png,7.1,a,A,B,C,D
https://i.imgur.com/m7jQ6Q1.png,7.1,a,A,B,C,D
https://i.imgur.com/YOZUXBv.png,7.1,b,A,B,C,D
https://i.imgur.com/OpyXmFs.png,7.1,d,A,B,C,D
https://i.imgur.com/viPXPgO.png,19.1,c,A,B,C,D
https://i.imgur.com/mrgBOqO.png,4.1,b,A,B,C,D
https://i.imgur.com/lT0F5DM.png,2.9,d,A,B,C,D
https://i.imgur.com/uGWZqes.png,1.1,c,A,B,C,D
https://i.imgur.com/myBgkN5.png,5.1,b,A,B,C,D
https://i.imgur.com/XVxeK4x.png,5.1,d,A,B,C,D
https://i.imgur.com/dPBKkUH.png,5.1,b,A,B,C,D
https://i.imgur.com/JwoZT1M.png,5.1,a,A,B,C,D
https://i.imgur.com/DZDXYht.png,16.1,b,A,B,C,D
https://i.imgur.com/Dkeg3Or.png,19.1,c,A,B,C,D
https://i.imgur.com/h5Sywrn.png,4.1,c,A,B,C,D
https://i.imgur.com/zxnvR57.png,15.1,b,A,B,C,D
https://i.imgur.com/oREV8Xo.png,14.1,b,A,B,C,D
https://i.imgur.com/7F1y8Nx.png,15.1,c,A,B,C,D
https://i.imgur.com/9cBs7Ys.png,3.4,d,A,B,C,D
https://i.imgur.com/pP81BLp.png,16.1,a,A,B,C,D
https://i.imgur.com/ZbjHxfc.png,19.1,d,A,B,C,D
https://i.imgur.com/aSMYn6R.png,1.4,d,A,B,C,D
https://i.imgur.com/P1NN2aw.png,1.2,b,A,B,C,D
https://i.imgur.com/2dey6Jo.png,1.3,c,A,B,C,D
https://i.imgur.com/51bNoTj.png,16.1,b,A,B,C,D
https://i.imgur.com/eOnpbOb.png,17.1,a,A,B,C,D
https://i.imgur.com/lYFrRKL.png,3.2,c,A,B,C,D
https://i.imgur.com/RD7uX3M.png,16.1,d,A,B,C,D
https://i.imgur.com/0l9XKcu.png,4.1,b,A,B,C,D
https://i.imgur.com/42j0Dw2.png,5.1,d,A,B,C,D
https://i.imgur.com/wIHFvQK.png,5.1,b,A,B,C,D
https://i.imgur.com/FBAvE5a.png,5.1,b,A,B,C,D
https://i.imgur.com/uj1m0Gn.png,1.5,c,A,B,C,D
https://i.imgur.com/rhycE2W.png,10.1,a,A,B,C,D
https://i.imgur.com/HtvDA8Q.png,11.1,b,A,B,C,D
https://i.imgur.com/vHK8qlm.png,5.1,b,A,B,C,D
