,Answer,OptionA,OptionB,OptionC,OptionD,Questions,category
0, d,"  3, 2, 1, 4, 5","  1, 2, 3, 5, 4","  5, 4, 3, 1, 2","  3, 1, 2, 4, 5", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) मकान (2) गली (3) कमरा (4) कस्‍बा (5) जिला ,13.1
1, c,"  4, 6, 1, 2, 3, 5","  4, 6, 1, 2, 3, 5","  4, 2, 6, 1, 5, 3","  4, 6, 2, 5, 1, 3", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) वाक्‍य (2) अध्‍याय (3) अक्षर (4) पुस्‍तक (5) शब्‍द (6) गद्यांश ,13.1
2, d,"  2, 5, 1, 4, 3","  1, 2, 3, 4, 5","  5, 2, 1, 4, 3","  2, 5, 4, 1, 3", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) दीवार (2) रेत (मिट्टी) (3) मकान (4) कमरा (5) ईंट ,13.1
3, c,"  5, 6, 4, 2, 3, 1","  5, 6, 3, 2, 4, 1","  5, 6, 2, 3, 4, 1","  6, 5, 4, 2, 3, 1", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) परिवीक्षा (2) साक्षात्‍कार (3) चुनाव (4) नियुक्‍त (5) विज्ञापन (6) आवेदन ,13.1
4, d,"  4, 3, 2, 1","  4, 1, 2, 3","  4, 3, 2, 1","  4, 2, 1, 3", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) शहद (2) मधुमख्‍खी (3) मोम (4) पुष्‍प ,13.1
5, c,"  2, 4, 5, 3, 1","  2, 4, 5, 1, 3","  2, 4, 1, 5, 3","  2, 4, 3, 5, 1", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) धागा (सूत) (2) पौधा (3) साड़ी (4) कपास (5) कपड़ा ,13.1
6, a,"  1, 3, 2, 4, 5,","  4, 1, 2, 5, 1","  1, 2, 3, 5, 4","  5, 1, 2, 4, 3", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) चाबी (2) दरवाजा (3) ताला (4) कमरा (5) टी. वी. चालू ,13.1
7, b,"  1, 5, 4, 3, 2","  3, 5, 2, 4, 1","  4, 5, 3, 2, 1","  2, 5, 3, 1, 4", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) Genuine (2) Genesis (3) Gender (4) Gentle (5) General ,13.1
8, b,"  5, 2, 1, 3, 4","  2, 1, 3, 4, 5","  3, 1, 2, 5, 4","  1, 2, 5, 3, 4", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) सब्‍जी (2) बाजार (3) काटना (4) पकाना (5) भोजन ,13.1
9, b,"  2, 3, 4, 1, 5","  2, 3, 1, 4, 5","  4, 3, 1, 2, 5","  5, 1, 4, 3, 2", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) परामर्श (2) बीमार (3) चिकित्‍सक (4) उपचार (5) राहत ,13.1
10, c,"  3, 2, 5, 4, 1","  5, 1, 4, 2, 3","  2, 3, 4, 5, 1","  3, 2, 5, 1, 4", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) अनुक्रमण्‍ािका (2) सामग्री (3) शीर्षक (4) अध्‍याय (5) परिचय ,13.1
11, a,"  4, 3, 1, 5, 2","  1, 3, 2, 4, 5","  1, 3, 2, 4, 5","  3, 1, 5, 4, 2", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) काटना (2) ऊपर रखना (पहनावा) (3) चिन्हित करना (4) मापना (5) सिलना ,13.1
12, b,"  1, 2, 3, 6, 5, 4","  4, 1, 2, 6, 5, 3","  1, 2, 3, 6, 5, 4","  3, 4, 2, 6, 5, 1", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) स्‍थान (2) योजना (3) किराया (4) धन (5) इमारत (6) भवन- निर्माण ,13.1
13, c,"  4, 2, 3, 1, 5","  4, 1, 3, 5, 2","  4, 3, 1, 2, 5","  4, 3, 1, 5, 2", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) पत्ती (2) फल (3) तना (4) जड़ (5) पुष्‍प ,13.1
14, c,"  2, 5, 4, 1, 3","  3, 2, 4, 5, 1","  2, 4, 5, 1, 3","  2, 4, 3, 1, 5", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) संरक्षित (2) वायुदाब (3) राहत (4) बारिश (5) बाढ़ ,13.1
15, b,"  4, 5, 3, 2, 1","  3, 2, 1, 4, 5","  2, 3, 1, 4, 5","  3, 4, 5, 1, 2", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) जाति (2) परिवार (3) नवविवाहित जोड़ा (4) कबीला (5) प्र‍जाति ,13.1
16, c,"  1, 4, 3, 2, 5","  5, 2, 3, 1, 4","  1, 3, 5, 4, 2","  2, 4, 3, 1, 5", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) राष्‍ट्र (2) फर्नीचर (3) जंगल (4) लकड़ी (5) वृक्ष ,13.1
17, b,"  3, 1, 2, 5, 4","  3, 1, 2, 4, 5","  3, 1, 5, 4, 2","  3, 1, 4, 2, 5", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) परिवार (2) समुदाय (3) सदस्‍य (4) इलाका (मुहल्‍ला) (5) राष्‍ट्र ,13.1
18, a,"  2, 4, 1, 5, 3","  1, 2, 3, 5, 4","  2, 4, 3, 5, 1","  3, 4, 2, 5, 1", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) गरीबी (2) जनसंख्‍या (3) मृत्‍यु (4) बेरोजगारी (5) बीमारी ,13.1
19, c,"  2, 4, 3, 1","  3, 4, 2, 1","  2, 3, 4, 1","  2, 1, 3, 4", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) Chemistry (2) Chamber (3) Cheap (4) Cheerful ,13.1
20, d,"  1, 3, 5, 2, 4","  3, 4, 2, 5, 1","  5, 3, 4, 2, 1","  5, 3, 1, 4, 2", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) मेढ़ंक (2) बाज (3) टिड्डा (4) सांप (5) घास ,13.1
21, c,"  3, 2, 1, 4, 5","  2, 5, 3, 1, 4","  1, 5, 4, 2, 3","  4, 5, 3, 1, 2", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) जन्‍म (2) मृत्‍यु (3) अन्तिम संस्‍कार (4) विवाह (5) शिक्षा ,13.1
22, b,"  3, 2, 1, 4, 5","  3, 2, 4, 1, 5","  3, 2, 4, 5, 1","  3, 2, 5, 1, 4", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) राज्‍य (2) उपखण्‍ड (3) गांव (4) जिला (5) राष्‍ट्र ,13.1
23, c,"  5, 4, 2, 1, 3","  1, 5, 3, 2, 4","  3, 1, 5, 4, 2","  2, 1, 3, 5, 4", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) आंध्र प्रदेश (2) ब्रम्‍हांड (3) तिरूपति (4) विश्‍व (5) भारत ,13.1
24, a,"  5, 2, 3, 4, 1","  4, 3, 1, 2, 5","  1, 2, 3, 4, 5","  3, 4, 5, 1, 2", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) गंतव्‍य (2) बुकिंग (3) बोर्डिंग (4) यात्रा (5) याेजना ,13.1
25, b,"  3, 5, 1, 4, 2","  3, 2, 1, 4, 5","  4, 5, 1, 3, 2","  1, 3, 5, 4, 2", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) निदान (2) चिकित्‍सक (3) बीमार (4) उपचार (5) आरोग्‍य प्राप्ति ,13.1
26, d,"  2, 4, 5, 3, 1","  3, 1, 4, 2, 5","  3, 4, 5, 2, 1","  5, 4, 2, 3, 1", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) कंधा (2) कलाई (3) कोहनी (4) हथेली (5) उंगली ,13.1
27,  a,"  5, 2, 4, 1, 3","  3, 4, 5, 1, 2","  2, 3, 5, 1, 4","  4, 2, 1, 5, 3", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) दही (2) घास (3) मख्‍ख्‍ान (4) दूध (5) गाय ,13.1
28, d,"  3, 1, 2, 4, 5,","  5, 4, 3, 2, 1","  1, 2, 4, 3, 5","  3, 1, 4, 5, 2", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) पुलिस (2) सजा (3) अपराध (4) न्‍यायाधीश (5) निर्णय ,13.1
29, a,"  5, 1, 3, 2, 4","  1, 5, 3, 2, 4","  5, 1, 3, 4, 2","  1, 2, 3, 4, 5", नीचे दिये गए शब्‍दों को अ‍र्थपूर्ण रूप से सुव्‍यवस्थित कीजिए- (1) कलेक्‍टर (2) राज्‍यपाल (3) मुख्‍य सचिव (4) राष्‍ट्रपति (5) लिपिक ,13.1
