QuestionLinks,optionA,optionB,optionC,optionD,correct,Category
https://i.imgur.com/oRKIiQ8.png,1,2,3,4,b,4.1
https://i.imgur.com/ClgvZEI.png,1,2,3,4,d,4.1
https://i.imgur.com/0Gcozr5.png,1,2,3,4,c,4.1
https://i.imgur.com/ixpbfpT.png,1,2,3,4,d,4.1
https://i.imgur.com/h30jft1.png,1,2,3,4,c,4.1
https://i.imgur.com/AEcLrvj.png,1,2,3,4,b,4.1
https://i.imgur.com/QwelUiW.png,1,2,3,4,a,4.1
https://i.imgur.com/WfzWNh6.png,1,2,3,4,b,4.1
https://i.imgur.com/KR2L39O.png,1,2,3,4,d,4.1
https://i.imgur.com/q89xagq.png,1,2,3,4,a,4.1
https://i.imgur.com/dCNEktZ.png,1,2,3,4,a,4.1
https://i.imgur.com/63YXKuP.png,1,2,3,4,a,4.1
https://i.imgur.com/sCsQTD1.png,1,2,3,4,a,4.1
https://i.imgur.com/eQBoJ49.png,1,2,3,4,d,4.1
https://i.imgur.com/ryK8xZM.png,1,2,3,4,b,4.1
https://i.imgur.com/2sRjuRw.png,1,2,3,4,b,4.1
https://i.imgur.com/VYphFH6.png,1,2,3,4,b,4.1
https://i.imgur.com/UN41TTd.png,1,2,3,4,d,4.1
https://i.imgur.com/umoiqDH.png,1,2,3,4,a,4.1
https://i.imgur.com/6UhSNXN.png,1,2,3,4,c,4.1
https://i.imgur.com/QY2jINH.png,1,2,3,4,b,4.1
https://i.imgur.com/sGPG9bo.png,1,2,3,4,b,4.1
https://i.imgur.com/SSRmQk3.png,1,2,3,4,b,4.1
https://i.imgur.com/2wMR6kh.png,1,2,3,4,a,4.1
https://i.imgur.com/HiJnEbo.png,1,2,3,4,b,4.1
https://i.imgur.com/iEoX5i8.png,1,2,3,4,d,4.1
https://i.imgur.com/xkB1hx5.png,1,2,3,4,c,4.1
https://i.imgur.com/Zl8m95o.png,1,2,3,4,c,4.1
https://i.imgur.com/kUWbVnH.png,1,2,3,4,d,4.1
https://i.imgur.com/LN77C7p.png,1,2,3,4,c,4.1
https://i.imgur.com/8AQKk4I.png,1,2,3,4,c,4.1
https://i.imgur.com/0IXttsE.png,1,2,3,4,d,4.1
https://i.imgur.com/qzuTH1l.png,1,2,3,4,c,4.1
https://i.imgur.com/cHyrDGU.png,1,2,3,4,b,4.1
https://i.imgur.com/feG6Lil.png,1,2,3,4,a,4.1
https://i.imgur.com/u4JJaQy.png,1,2,3,4,c,4.1
https://i.imgur.com/CQiYyf3.png,1,2,3,4,d,4.1
https://i.imgur.com/od3uATH.png,1,2,3,4,c,4.1
https://i.imgur.com/T3TkCVB.png,1,2,3,4,d,4.1
https://i.imgur.com/Zai3ybd.png,1,2,3,4,b,4.1
https://i.imgur.com/MpYzGwp.png,1,2,3,4,c,4.1
https://i.imgur.com/yni7RjI.png,1,2,3,4,d,4.1
