QuestionLink,Correct,Category,optionA,optionB,optionC,optionD
https://i.imgur.com/eJwVo0a.png,B,22.1,A,B,C,D
https://i.imgur.com/6Iz9IXu.png,A,22.1,A,B,C,D
https://i.imgur.com/7jePBMj.png,C,22.1,A,B,C,D
https://i.imgur.com/Up1yRhU.png,A,22.1,A,B,C,D
https://i.imgur.com/2asIyfB.png,A,22.1,A,B,C,D
https://i.imgur.com/YlhvT50.png,D,22.1,A,B,C,D
https://i.imgur.com/413DXLd.png,C,22.1,A,B,C,D
https://i.imgur.com/QD9H6zy.png,B,22.1,A,B,C,D
https://i.imgur.com/sxvmsNX.png,A,22.1,A,B,C,D
https://i.imgur.com/zSpKuX4.png,B,22.1,A,B,C,D
https://i.imgur.com/l3UxVRw.png,A,22.1,A,B,C,D
https://i.imgur.com/bfDrgUh.png,D,22.1,A,B,C,D
https://i.imgur.com/p8yJctF.png,C,22.1,A,B,C,D
https://i.imgur.com/DZ0g7xx.png,B,22.1,A,B,C,D
