Category,Answer,QuestionLink,optionA,optionB,optionC,optionD
2.1,B,https://i.imgur.com/Jg5yfdK.png,A,B,C,D
2.1,B,https://i.imgur.com/4Zw06yd.png,A,B,C,D
2.1,C,https://i.imgur.com/6sQn8rs.png,A,B,C,D
2.1,B,https://i.imgur.com/3YScLO6.png,A,B,C,D
2.1,B,https://i.imgur.com/2ND12de.png,A,B,C,D
7.1,B,https://i.imgur.com/ZEE9qwq.png,A,B,C,D
7.1,C,https://i.imgur.com/B9QBz39.png,A,B,C,D
7.1,D,https://i.imgur.com/8vsy76B.png,A,B,C,D
7.1,C,https://i.imgur.com/xNVn1KO.png,A,B,C,D
2.9,A,https://i.imgur.com/cN7UVKO.png,A,B,C,D
13.1,A,https://i.imgur.com/Ctbc1Ng.png,A,B,C,D
17.1,B,https://i.imgur.com/ClTS58t.png,A,B,C,D
5.1,C,https://i.imgur.com/lczrNx7.png,A,B,C,D
5.1,A,https://i.imgur.com/RAOdCiN.png,A,B,C,D
16.1,D,https://i.imgur.com/KBDVeUz.png,A,B,C,D
19.1,A,https://i.imgur.com/dAemrak.png,A,B,C,D
2.9,A,https://i.imgur.com/ldlvjkP.png,A,B,C,D
5.1,A,https://i.imgur.com/H5qB6VG.png,A,B,C,D
5.1,B,https://i.imgur.com/AzccE0q.png,A,B,C,D
5.1,B,https://i.imgur.com/5ONHk2i.png,A,B,C,D
9.1,C,https://i.imgur.com/3RsPsTH.png,A,B,C,D
11.1,A,https://i.imgur.com/gHiK2Ge.png,A,B,C,D
1.4,A,https://i.imgur.com/3HAGeto.png,A,B,C,D
1.3,C,https://i.imgur.com/dCaem9v.png,A,B,C,D
