Category,Answer,QuestionLink,optionA,optionB,optionC,optionD
2.1,C,https://i.imgur.com/btDQgyU.png,A,B,C,D
2.1,C,https://i.imgur.com/HH8IDef.png,A,B,C,D
2.1,C,https://i.imgur.com/bUMhQBr.png,A,B,C,D
2.1,B,https://i.imgur.com/OKzNq06.png,A,B,C,D
7.1,D,https://i.imgur.com/6E9N4Dy.png,A,B,C,D
7.1,C,https://i.imgur.com/hB3lgnA.png,A,B,C,D
7.1,D,https://i.imgur.com/L6SBp34.png,A,B,C,D
10.1,D,https://i.imgur.com/93ToPCW.png,A,B,C,D
13.1,B,https://i.imgur.com/4kotaEd.png,A,B,C,D
3.2,C,https://i.imgur.com/VkV1Grp.png,A,B,C,D
3.2,D,https://i.imgur.com/eLnXchA.png,A,B,C,D
9.1,A,https://i.imgur.com/SrsAfoR.png,A,B,C,D
11.1,B,https://i.imgur.com/nS0TXLM.png,A,B,C,D
19.1,D,https://i.imgur.com/OnJFUmp.png,A,B,C,D
16.1,A,https://i.imgur.com/FGYlA4F.png,A,B,C,D
3.4,C,https://i.imgur.com/bJ8hNf5.png,A,B,C,D
20.1,B,https://i.imgur.com/4dT6W2y.png,A,B,C,D
1.2,C,https://i.imgur.com/CSTx2BS.png,A,B,C,D
15.1,D,https://i.imgur.com/dyAqjUN.png,A,B,C,D
3.3,D,https://i.imgur.com/UxOUHrY.png,A,B,C,D
1.4,C,https://i.imgur.com/ik0scxP.png,A,B,C,D
1.1,C,https://i.imgur.com/AY3LYQj.png,A,B,C,D
1.4,D,https://i.imgur.com/C4jCg4N.png,A,B,C,D
16.1,A,https://i.imgur.com/rFc0cTP.png,A,B,C,D
5.1,C,https://i.imgur.com/DULOTmw.png,A,B,C,D
