QuestionLink,category,correct,optionA,optionB,optionC,optionD
https://i.imgur.com/W826ifc.png,2.1,b,A,B,C,D
https://i.imgur.com/Q2p7udd.png,2.1,c,A,B,C,D
https://i.imgur.com/hQLrIPu.png,2.1,d,A,B,C,D
https://i.imgur.com/cjxWmy8.png,2.1,a,A,B,C,D
https://i.imgur.com/TRL9ykH.png,2.1,b,A,B,C,D
https://i.imgur.com/tfBpqLk.png,2.1,b,A,B,C,D
https://i.imgur.com/2d50AXV.png,2.1,d,A,B,C,D
https://i.imgur.com/fbMmgsX.png,2.1,a,A,B,C,D
https://i.imgur.com/ivIKuhc.png,2.1,a,A,B,C,D
https://i.imgur.com/2640rC0.png,2.1,b,A,B,C,D
https://i.imgur.com/EeK5346.png,7.1,b,A,B,C,D
https://i.imgur.com/UneKDFO.png,7.1,b,A,B,C,D
https://i.imgur.com/k5OioUT.png,7.1,c,A,B,C,D
https://i.imgur.com/YezSYqD.png,7.1,c,A,B,C,D
https://i.imgur.com/WadByFH.png,7.1,c,A,B,C,D
https://i.imgur.com/NMD1iUr.png,7.1,a,A,B,C,D
https://i.imgur.com/02gtsGD.png,7.1,b,A,B,C,D
https://i.imgur.com/bdSK47Q.png,7.1,b,A,B,C,D
https://i.imgur.com/pjXz4Xk.png,9.1,c,A,B,C,D
https://i.imgur.com/mBu73LZ.png,22.1,c,A,B,C,D
https://i.imgur.com/0kXwI8r.png,16.1,a,A,B,C,D
https://i.imgur.com/584qV69.png,17.1,a,A,B,C,D
https://i.imgur.com/9mEtgXO.png,5.1,a,A,B,C,D
https://i.imgur.com/INNB7bg.png,5.1,b,A,B,C,D
https://i.imgur.com/0ZGV82G.png,5.1,d,A,B,C,D
https://i.imgur.com/o6oqerS.png,10.1,a,A,B,C,D
https://i.imgur.com/QUDS4UC.png,22.1,c,A,B,C,D
https://i.imgur.com/T7OwIsY.png,18.1,b,A,B,C,D
https://i.imgur.com/ak5mIJZ.png,4.1,c,A,B,C,D
https://i.imgur.com/PQTJmvs.png,2.9,d,A,B,C,D
https://i.imgur.com/vVQVeSE.png,17.1,d,A,B,C,D
https://i.imgur.com/CyRGNZq.png,19.1,b,A,B,C,D
https://i.imgur.com/OP3ZB72.png,16.1,b,A,B,C,D
https://i.imgur.com/8sM7evW.png,9.1,b,A,B,C,D
https://i.imgur.com/zIxydDz.png,15.1,b,A,B,C,D
https://i.imgur.com/r1GBoH1.png,3.4,c,A,B,C,D
https://i.imgur.com/b2afaaY.png,15.1,d,A,B,C,D
https://i.imgur.com/nejOo6p.png,19.1,a,A,B,C,D
https://i.imgur.com/6hrS9vo.png,17.1,d,A,B,C,D
https://i.imgur.com/BTkxVFM.png,5.1,d,A,B,C,D
https://i.imgur.com/o5q0MGS.png,5.1,d,A,B,C,D
https://i.imgur.com/uHtYFer.png,5.1,b,A,B,C,D
https://i.imgur.com/iFIqDqp.png,5.1,b,A,B,C,D
https://i.imgur.com/09lDwll.png,10.1,a,A,B,C,D
https://i.imgur.com/SfB7OE0.png,11.1,a,A,B,C,D
https://i.imgur.com/VdHeKGl.png,1.2,c,A,B,C,D
https://i.imgur.com/klIVG3W.png,1.1,c,A,B,C,D
https://i.imgur.com/vGbmuj1.png,1.3,b,A,B,C,D
https://i.imgur.com/aG7lJbp.png,1.4,d,A,B,C,D
https://i.imgur.com/UkJSsZd.png,5.1,a,A,B,C,D
