,Category,Correct,QuestionLink,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
0,4.1,b,https://i.imgur.com/eFCI061.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
1,5.1,a,https://i.imgur.com/X8xUFLm.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
2,19.1,a,https://i.imgur.com/DBnt1YL.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
3,6.1,a,https://i.imgur.com/XZaYXIM.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
4,20.1,a,https://i.imgur.com/FLsSibQ.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
5,22.1,a,https://i.imgur.com/cKZtd7Z.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
6,15.1,b,https://i.imgur.com/6HriKPT.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
7,16.1,c,https://i.imgur.com/mdQMwqW.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
8,8.1,a,https://i.imgur.com/h7rsgoF.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
9,10.1,a,https://i.imgur.com/ARpkrCJ.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
10,22.1,d,https://i.imgur.com/OtYznbt.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
11,10.1,d,https://i.imgur.com/4EZyboL.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
12,22.1,b,https://i.imgur.com/0lxop7h.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
13,17.1,c,https://i.imgur.com/EhZg9zV.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
14,10.1,d,https://i.imgur.com/eRBbftV.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
15,6.1,b,https://i.imgur.com/KEnYTJh.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
16,19.1,b,https://i.imgur.com/9zGz4LR.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
17,5.1,b,https://i.imgur.com/S9ecT8v.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
18,4.1,a,https://i.imgur.com/qtMhEgv.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
19,6.1,b,https://i.imgur.com/DG7qOQv.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
20,5.1,c,https://i.imgur.com/ZoFgV6i.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
21,8.1,d,https://i.imgur.com/pF4q4zf.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
