Category,Answer,QuestionLink,optionA,optionB,optionC,optionD
2.1,A,https://i.imgur.com/sASHbY8.png,A,B,C,D
2.1,C,https://i.imgur.com/npFZnDH.png,A,B,C,D
2.1,D,https://i.imgur.com/gbWieHa.png,A,B,C,D
2.1,B,https://i.imgur.com/FbKiPJI.png,A,B,C,D
2.1,D,https://i.imgur.com/HZntY71.png,A,B,C,D
2.1,B,https://i.imgur.com/IKiKQDy.png,A,B,C,D
2.1,B,https://i.imgur.com/unD3zWQ.png,A,B,C,D
2.1,A,https://i.imgur.com/qrOBB6V.png,A,B,C,D
2.1,A,https://i.imgur.com/7EAmP7d.png,A,B,C,D
2.1,C,https://i.imgur.com/XJlTQmA.png,A,B,C,D
7.1,D,https://i.imgur.com/wNmJlOA.png,A,B,C,D
7.1,A,https://i.imgur.com/BVJZxxk.png,A,B,C,D
7.1,B,https://i.imgur.com/YcpmAyf.png,A,B,C,D
7.1,D,https://i.imgur.com/FpJBziN.png,A,B,C,D
7.1,A,https://i.imgur.com/uQjJZ9m.png,A,B,C,D
7.1,D,https://i.imgur.com/HM6Nux0.png,A,B,C,D
7.1,D,https://i.imgur.com/x9YqDlt.png,A,B,C,D
7.1,D,https://i.imgur.com/IfUMoiC.png,A,B,C,D
13.1,D,https://i.imgur.com/D5ErOuE.png,A,B,C,D
16.1,D,https://i.imgur.com/sOGu9el.png,A,B,C,D
2.9,A,https://i.imgur.com/LHeA0mk.png,A,B,C,D
1.3,B,https://i.imgur.com/W7LWLPu.png,A,B,C,D
13.1,D,https://i.imgur.com/QdKV08Z.png,A,B,C,D
17.1,D,https://i.imgur.com/s7gbzc4.png,A,B,C,D
17.1,C,https://i.imgur.com/zj5vQkx.png,A,B,C,D
17.1,C,https://i.imgur.com/wpEy8XH.png,A,B,C,D
9.1,D,https://i.imgur.com/9Jf30LQ.png,A,B,C,D
15.1,B,https://i.imgur.com/DPmkqWw.png,A,B,C,D
4.1,D,https://i.imgur.com/EQSI8WO.png,A,B,C,D
16.1,A,https://i.imgur.com/WKMKElp.png,A,B,C,D
16.1,D,https://i.imgur.com/CZPET5T.png,A,B,C,D
15.1,A,https://i.imgur.com/9Qna3ip.png,A,B,C,D
5.1,C,https://i.imgur.com/Yd81zHV.png,A,B,C,D
5.1,C,https://i.imgur.com/K4FTnvP.png,A,B,C,D
5.1,A,https://i.imgur.com/Dfgbv8d.png,A,B,C,D
5.1,A,https://i.imgur.com/2zMuuYx.png,A,B,C,D
10.1,A,https://i.imgur.com/Nd8vATr.png,A,B,C,D
5.1,D,https://i.imgur.com/N4PjzZa.png,A,B,C,D
5.1,D,https://i.imgur.com/DlR58fe.png,A,B,C,D
5.1,D,https://i.imgur.com/XSVHtRe.png,A,B,C,D
1.4,C,https://i.imgur.com/t55Sf8l.png,A,B,C,D
15.1,B,https://i.imgur.com/zPPM2Qi.png,A,B,C,D
1.2,B,https://i.imgur.com/jtQbssg.png,A,B,C,D
5.1,D,https://i.imgur.com/DKzBsRb.png,A,B,C,D
11.1,C,https://i.imgur.com/rl4mhXS.png,A,B,C,D
15.1,D,https://i.imgur.com/tbeYc8o.png,A,B,C,D
16.1,A,https://i.imgur.com/HyJGqAO.png,A,B,C,D
15.1,C,https://i.imgur.com/mmx7Zo3.png,A,B,C,D
22.1,D,https://i.imgur.com/mF7P3Wc.png,A,B,C,D
5.1,C,https://i.imgur.com/1c26ynE.png,A,B,C,D
