Category,Answer,QuestionLink,optionA,optionB,optionC,optionD
2.1,C,https://i.imgur.com/3QBk421.png,A,B,C,D
2.1,C,https://i.imgur.com/1oNvbm5.png,A,B,C,D
2.1,B,https://i.imgur.com/gU1lBum.png,A,B,C,D
7.1,B,https://i.imgur.com/8ije5X5.png,A,B,C,D
7.1,D,https://i.imgur.com/bfQnr0S.png,A,B,C,D
7.1,B,https://i.imgur.com/1kQUlQS.png,A,B,C,D
15.1,C,https://i.imgur.com/3DnvfYZ.png,A,B,C,D
13.1,C,https://i.imgur.com/tyDFcDX.png,A,B,C,D
14.1,B,https://i.imgur.com/tbrSFTK.png,A,B,C,D
9.1,B,https://i.imgur.com/TDQNcrZ.png,A,B,C,D
22.1,C,https://i.imgur.com/bY5VFwt.png,A,B,C,D
9.1,B,https://i.imgur.com/cwYSUl1.png,A,B,C,D
15.1,C,https://i.imgur.com/2qZjLWZ.png,A,B,C,D
5.1,C,https://i.imgur.com/zDWWQcG.png,A,B,C,D
5.1,D,https://i.imgur.com/fIIdns4.png,A,B,C,D
13.1,B,https://i.imgur.com/WoHCNZy.png,A,B,C,D
17.1,C,https://i.imgur.com/0AWCFbi.png,A,B,C,D
5.1,B,https://i.imgur.com/jWTpZ3y.png,A,B,C,D
5.1,B,https://i.imgur.com/2iNEo80.png,A,B,C,D
11.1,B,https://i.imgur.com/BOHaPTm.png,A,B,C,D
19.1,B,https://i.imgur.com/LZfnw8M.png,A,B,C,D
3.4,C,https://i.imgur.com/nlB86La.png,A,B,C,D
3.3,C,https://i.imgur.com/RhE8yKu.png,A,B,C,D
15.1,A,https://i.imgur.com/VHL23wr.png,A,B,C,D
5.1,B,https://i.imgur.com/KlI6eMK.png,A,B,C,D
