Category,Answer,QuestionLink,optionA,optionB,optionC,optionD
2.1,A,https://i.imgur.com/bVPg85k.png,A,B,C,D
2.1,B,https://i.imgur.com/9I54yJN.png,A,B,C,D
2.1,A,https://i.imgur.com/UNDFsh8.png,A,B,C,D
2.1,B,https://i.imgur.com/UJpxC3Q.png,A,B,C,D
7.1,D,https://i.imgur.com/jy2R2zK.png,A,B,C,D
7.1,C,https://i.imgur.com/SAQ3hFR.png,A,B,C,D
7.1,C,https://i.imgur.com/ICB1Q2G.png,A,B,C,D
15.1,A,https://i.imgur.com/LdpQ3nA.png,A,B,C,D
4.1,D,https://i.imgur.com/O7sMHCL.png,A,B,C,D
4.1,A,https://i.imgur.com/BKgMkx6.png,A,B,C,D
2.9,C,https://i.imgur.com/Xsc1pTO.png,A,B,C,D
15.1,B,https://i.imgur.com/mnPEIx7.png,A,B,C,D
5.1,A,https://i.imgur.com/pFDp52C.png,A,B,C,D
5.1,D,https://i.imgur.com/mRP5ksz.png,A,B,C,D
3.4,B,https://i.imgur.com/Vqy2BhE.png,A,B,C,D
3.4,A,https://i.imgur.com/HQSIxbB.png,A,B,C,D
5.1,C,https://i.imgur.com/BeO7vAu.png,A,B,C,D
5.1,A,https://i.imgur.com/2tKJ1Np.png,A,B,C,D
1.4,A,https://i.imgur.com/rKgrxUi.png,A,B,C,D
15.1,B,https://i.imgur.com/3jxNdT2.png,A,B,C,D
10.1,D,https://i.imgur.com/J7PxDfT.png,A,B,C,D
1.5,C,https://i.imgur.com/llqVy1A.png,A,B,C,D
3.3,B,https://i.imgur.com/IaChOlX.png,A,B,C,D
1.1,A,https://i.imgur.com/8eZ8l5O.png,A,B,C,D
5.1,B,https://i.imgur.com/GVjqvYJ.png,A,B,C,D
