QuestionLink,correct,category,optionA,optionB,optionC,optionD
https://i.imgur.com/V2qaH7u.png,b,2.1,A,B,C,D
https://i.imgur.com/c9k7IwK.png,c,2.1,A,B,C,D
https://i.imgur.com/POBNPvL.png,c,2.1,A,B,C,D
https://i.imgur.com/t9wV1Jy.png,d,7.1,A,B,C,D
https://i.imgur.com/ZdICay7.png,d,7.1,A,B,C,D
https://i.imgur.com/5vegGmd.png,c,2.9,A,B,C,D
https://i.imgur.com/a5hTUSh.png,b,16.1,A,B,C,D
https://i.imgur.com/xBwvkI7.png,c,16.1,A,B,C,D
https://i.imgur.com/aTgV2vU.png,b,9.1,A,B,C,D
https://i.imgur.com/p0ktaaj.png,a,19.1,A,B,C,D
https://i.imgur.com/j6ugrCe.png,b,20.1,A,B,C,D
https://i.imgur.com/tSLkNm4.png,a,17.1,A,B,C,D
https://i.imgur.com/lvwcILL.png,d,20.1,A,B,C,D
https://i.imgur.com/8rnF6iy.png,d,5.1,A,B,C,D
https://i.imgur.com/68L8nQg.png,c,5.1,A,B,C,D
https://i.imgur.com/KNB0T2n.png,d,17.1,A,B,C,D
https://i.imgur.com/xUP0tmt.png,a,17.1,A,B,C,D
https://i.imgur.com/lPr2oHu.png,c,17.1,A,B,C,D
https://i.imgur.com/cyiZwwW.png,b,18.1,A,B,C,D
https://i.imgur.com/Rf3epDz.png,a,15.1,A,B,C,D
https://i.imgur.com/x8mJtA3.png,b,9.1,A,B,C,D
https://i.imgur.com/gngHoDN.png,d,11.1,A,B,C,D
https://i.imgur.com/3w7TWTB.png,c,10.1,A,B,C,D
