QuestionLink,category,correct,optionA,optionB,optionC,optionD
https://i.imgur.com/zjWiaXE.png,2.1,b,A,B,C,D
https://i.imgur.com/B1D59mG.png,2.1,d,A,B,C,D
https://i.imgur.com/ygOB3qA.png,2.1,c,A,B,C,D
https://i.imgur.com/Y0HUuIM.png,2.1,a,A,B,C,D
https://i.imgur.com/Yis5Iv8.png,2.1,d,A,B,C,D
https://i.imgur.com/6kQWFRY.png,2.1,a,A,B,C,D
https://i.imgur.com/aMb4huF.png,2.1,a,A,B,C,D
https://i.imgur.com/omrhNYO.png,2.1,d,A,B,C,D
https://i.imgur.com/CLA26Gy.png,2.1,a,A,B,C,D
https://i.imgur.com/lPqs8UW.png,2.1,b,A,B,C,D
https://i.imgur.com/mCInsOT.png,7.1,c,A,B,C,D
https://i.imgur.com/rmDQol5.png,7.1,c,A,B,C,D
https://i.imgur.com/pOILhsm.png,7.1,d,A,B,C,D
https://i.imgur.com/O5wG2UT.png,7.1,c,A,B,C,D
https://i.imgur.com/pYLA70e.png,7.1,d,A,B,C,D
https://i.imgur.com/ptHkiKO.png,7.1,a,A,B,C,D
https://i.imgur.com/Gv5uvYX.png,7.1,c,A,B,C,D
https://i.imgur.com/ISvAYDz.png,7.1,d,A,B,C,D
https://i.imgur.com/F9Md3ma.png,7.1,d,A,B,C,D
https://i.imgur.com/JQxa9Wu.png,7.1,b,A,B,C,D
https://i.imgur.com/1aLOTLj.png,3.3,b,A,B,C,D
https://i.imgur.com/Wy7DHyU.png,9.1,d,A,B,C,D
https://i.imgur.com/ZbuA2v6.png,4.1,b,A,B,C,D
https://i.imgur.com/CNscEMB.png,19.1,d,A,B,C,D
https://i.imgur.com/eE0zX5T.png,5.1,b,A,B,C,D
https://i.imgur.com/0n43vJs.png,5.1,c,A,B,C,D
https://i.imgur.com/wylclKj.png,5.1,a,A,B,C,D
https://i.imgur.com/MK26CzC.png,5.1,a,A,B,C,D
https://i.imgur.com/lDDpybL.png,1.4,d,A,B,C,D
https://i.imgur.com/NmJLXzY.png,1.4,a,A,B,C,D
https://i.imgur.com/g2JSoim.png,17.1,c,A,B,C,D
https://i.imgur.com/uuiBunv.png,2.9,c,A,B,C,D
https://i.imgur.com/5Y8eVAi.png,22.1,c,A,B,C,D
https://i.imgur.com/8mmntzf.png,15.1,d,A,B,C,D
https://i.imgur.com/YDAArwf.png,11.1,d,A,B,C,D
https://i.imgur.com/NZtG5gC.png,13.1,b,A,B,C,D
https://i.imgur.com/0vEKCpo.png,1.4,d,A,B,C,D
https://i.imgur.com/FDWLxXK.png,4.1,d,A,B,C,D
https://i.imgur.com/zX1Pvuh.png,13.1,c,A,B,C,D
https://i.imgur.com/bl5Zy6W.png,11.1,d,A,B,C,D
https://i.imgur.com/1TafkU3.png,4.1,d,A,B,C,D
https://i.imgur.com/dknMqrJ.png,20.1,a,A,B,C,D
https://i.imgur.com/jxo2nYF.png,2.9,d,A,B,C,D
https://i.imgur.com/fWZ34UG.png,17.1,d,A,B,C,D
https://i.imgur.com/BvHjTT9.png,21.1,b,A,B,C,D
https://i.imgur.com/4DujgLJ.png,1.3,c,A,B,C,D
https://i.imgur.com/EUSLV36.png,10.1,b,A,B,C,D
https://i.imgur.com/RHJKGtz.png,16.1,a,A,B,C,D
https://i.imgur.com/zcq6FMF.png,1.1,b,A,B,C,D
https://i.imgur.com/m6bs1mf.png,5.1,d,A,B,C,D
