QuestionLink,category,correct,optionA,optionB,optionC,optionD
https://i.imgur.com/kRNJavz.png,2.1,c,A,B,C,D
https://i.imgur.com/0HbesZX.png,2.1,d,A,B,C,D
https://i.imgur.com/emXbOxs.png,2.1,b,A,B,C,D
https://i.imgur.com/e33RpNC.png,2.1,c,A,B,C,D
https://i.imgur.com/CBoeDS3.png,2.1,a,A,B,C,D
https://i.imgur.com/WlO7YE6.png,2.1,d,A,B,C,D
https://i.imgur.com/L8E8Dud.png,2.1,c,A,B,C,D
https://i.imgur.com/AU2hpUR.png,2.1,a,A,B,C,D
https://i.imgur.com/2qpdNPE.png,2.1,a,A,B,C,D
https://i.imgur.com/8oURw6W.png,2.1,b,A,B,C,D
https://i.imgur.com/w52Ise0.png,7.1,d,A,B,C,D
https://i.imgur.com/hTvlVER.png,7.1,d,A,B,C,D
https://i.imgur.com/nKBsxnr.png,7.1,b,A,B,C,D
https://i.imgur.com/5VbiAtw.png,7.1,d,A,B,C,D
https://i.imgur.com/gOSCz13.png,7.1,b,A,B,C,D
https://i.imgur.com/B0WrbZ6.png,7.1,d,A,B,C,D
https://i.imgur.com/a7idSq5.png,7.1,c,A,B,C,D
https://i.imgur.com/nqmOIEq.png,7.1,d,A,B,C,D
https://i.imgur.com/ZVWVdmm.png,3.4,d,A,B,C,D
https://i.imgur.com/tTNYZBm.png,9.1,a,A,B,C,D
https://i.imgur.com/l55xVXI.png,4.1,d,A,B,C,D
https://i.imgur.com/O6UeEuT.png,9.1,d,A,B,C,D
https://i.imgur.com/8lYRrhM.png,4.1,d,A,B,C,D
https://i.imgur.com/LDbPH89.png,22.1,b,A,B,C,D
https://i.imgur.com/n7cu57V.png,5.1,b,A,B,C,D
https://i.imgur.com/lxVCs37.png,5.1,d,A,B,C,D
https://i.imgur.com/BVpUso4.png,5.1,c,A,B,C,D
https://i.imgur.com/MY73sQS.png,5.1,a,A,B,C,D
https://i.imgur.com/laQtqNz.png,14.1,b,A,B,C,D
https://i.imgur.com/qdsLTz3.png,19.1,a,A,B,C,D
https://i.imgur.com/3mcm3VJ.png,4.1,a,A,B,C,D
https://i.imgur.com/YgfglBh.png,20.1,b,A,B,C,D
https://i.imgur.com/2c1zRh2.png,10.1,b,A,B,C,D
https://i.imgur.com/vsSJeTe.png,5.1,b,A,B,C,D
https://i.imgur.com/XXT8Uj0.png,5.1,c,A,B,C,D
https://i.imgur.com/JD5LJxi.png,5.1,d,A,B,C,D
https://i.imgur.com/P87SAkG.png,5.1,b,A,B,C,D
https://i.imgur.com/RfO6jaB.png,5.1,b,A,B,C,D
https://i.imgur.com/13F3AS5.png,10.1,d,A,B,C,D
https://i.imgur.com/Yk8HFfs.png,10.1,c,A,B,C,D
https://i.imgur.com/RfCw9gt.png,16.1,a,A,B,C,D
https://i.imgur.com/UPV386H.png,4.1,c,A,B,C,D
https://i.imgur.com/MFvKu6Z.png,2.9,c,A,B,C,D
https://i.imgur.com/7TngNoE.png,1.2,b,A,B,C,D
https://i.imgur.com/3LBuIXn.png,1.4,c,A,B,C,D
https://i.imgur.com/PVOb7rL.png,1.3,b,A,B,C,D
https://i.imgur.com/6lAgQes.png,13.1,a,A,B,C,D
https://i.imgur.com/O8yDlmb.png,1.1,a,A,B,C,D
https://i.imgur.com/BUILE4l.png,1.5,b,A,B,C,D
https://i.imgur.com/XvhX0hc.png,5.1,c,A,B,C,D
