,Answer,OptionA,OptionB,OptionC,OptionD,Questions,category
0,B,43521,35412,34512,43512, निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Pragmatic 2. Protect 3. Pastel 4. Postal 5. Pebble ,13.1
1,C,15243,51243,51324,51342, निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Flinching 2. Flintlock 3. Flinpites 4. Flintlocks 5. Flinchers ,13.1
2,D,12543,25143,21534,12354, निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Herbivorous 2. Harmony 3. House 4. Honour 5. Helm ,13.1
3,B,24135,42135,42513,54213, निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Ball 2. Balanced 3. Balls 4. Balance 5. Balancing ,13.1
4,A,13245,15243,32451,45231, निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Decollete 2. Desecrate 3. Decorous 4. Desipicable 5. Destitute ,13.1
5,B,42351,45321,43125,45312,निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Globe 2. Group 3. Glitch 4. Gap 5. Glade ,13.1
6,A,53214,53124,53421,53412, निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Dragon 2. Draculla 3. Dormont 4. Drapery 5. Deviate ,13.1
7,B,42351,42531,45312,45321, निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Dillydallying 2. Dillydallied 3. Dillydally 4. Dilled 5. Dillydallies ,13.1
8,C,51432,51342,54132,53412, निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Storm 2. Strap 3. Strangle 4. Stamped 5. Satire ,13.1
9,B,34125,35412,43152,43215, निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Effacers 2. Effacing 3. Effaceable 4. Effacements 5. Effacement ,13.1
10,D,23541,32154,25314,32514, निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Train 2. Topper 3. Tingling 4. Tumbler 5. Traction ,13.1
11,A,15234,23154,24315,51234, निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Clocklipe 2. Cloddier 3. Clodpates 4. Clodpolls 5. Clockwise ,13.1
12,A,43152,43251,53421,54312,  निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Exacts 2. Exotic 3. Exactly 4. Exacerbate 5. Exhaust ,13.1
13,A,12453,12534,21345,45213, निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Cadartrally 2. Caddisflies 3. Caducities 4. Caddisworms 5. Cadetships ,13.1
14,A,13542,15342,13524,15324, निम्नलिखित शब्दों को शब्दकोश में आने वाले क्रम के अनुसार लिखें। 1. Feeble 2. From 3. Floor 4. Foam 5. Fluorescent ,13.1
