QuestionLink,correct,category,optionA,optionB,optionC,optionD
https://i.imgur.com/x9N8GuE.png,b,2.1,A,B,C,D
https://i.imgur.com/DgYqPnJ.png,d,2.1,A,B,C,D
https://i.imgur.com/asWqAK0.png,c,2.1,A,B,C,D
https://i.imgur.com/BHSTy28.png,b,2.1,A,B,C,D
https://i.imgur.com/yQyyMYG.png,d,2.1,A,B,C,D
https://i.imgur.com/orueGyZ.png,b,2.1,A,B,C,D
https://i.imgur.com/EK7HQ9m.png,a,2.1,A,B,C,D
https://i.imgur.com/aQzZnMl.png,a,2.1,A,B,C,D
https://i.imgur.com/qqF8wpb.png,c,2.9,A,B,C,D
https://i.imgur.com/JuXo8eG.png,c,22.1,A,B,C,D
https://i.imgur.com/ZEljKdl.png,b,11.1,A,B,C,D
https://i.imgur.com/N2w4Y3Y.png,b,2.9,A,B,C,D
https://i.imgur.com/JurhFvE.png,c,2.9,A,B,C,D
https://i.imgur.com/X5STdWd.png,a,1.5,A,B,C,D
https://i.imgur.com/rF58Hth.png,c,7.1,A,B,C,D
https://i.imgur.com/Q16JrbL.png,c,7.1,A,B,C,D
https://i.imgur.com/luMT9zn.png,c,7.1,A,B,C,D
https://i.imgur.com/SlxcTLl.png,d,3.2,A,B,C,D
https://i.imgur.com/z032rVd.png,a,7.1,A,B,C,D
https://i.imgur.com/Rolr4G2.png,d,7.1,A,B,C,D
https://i.imgur.com/tm50qsl.png,c,7.1,A,B,C,D
https://i.imgur.com/Q3OEyzY.png,b,17.1,A,B,C,D
https://i.imgur.com/QTwM9Jb.png,d,15.1,A,B,C,D
https://i.imgur.com/gmCDdcT.png,c,15.1,A,B,C,D
https://i.imgur.com/K4tpipU.png,b,15.1,A,B,C,D
https://i.imgur.com/oPlJAK5.png,c,15.1,A,B,C,D
https://i.imgur.com/RJOqGO0.png,c,10.1,A,B,C,D
https://i.imgur.com/6rM499g.png,c,10.1,A,B,C,D
https://i.imgur.com/gpo8F4E.png,a,16.1,A,B,C,D
https://i.imgur.com/UJEqwab.png,d,4.1,A,B,C,D
https://i.imgur.com/NQZDENb.png,c,2.9,A,B,C,D
https://i.imgur.com/uYvNYhl.png,d,4.1,A,B,C,D
https://i.imgur.com/1U2YvPK.png,b,5.1,A,B,C,D
https://i.imgur.com/6HZHQmF.png,c,5.1,A,B,C,D
https://i.imgur.com/TlDNO2b.png,b,5.1,A,B,C,D
https://i.imgur.com/SWCypRj.png,b,5.1,A,B,C,D
https://i.imgur.com/BtL0KNN.png,b,5.1,A,B,C,D
https://i.imgur.com/VcJn8Ag.png,d,5.1,A,B,C,D
https://i.imgur.com/jRXENw8.png,d,9.1,A,B,C,D
https://i.imgur.com/e9hMgRu.png,d,13.1,A,B,C,D
https://i.imgur.com/I6SXsLL.png,b,16.1,A,B,C,D
https://i.imgur.com/XBkIEIu.png,c,3.4,A,B,C,D
https://i.imgur.com/kNc6h8g.png,a,3.4,A,B,C,D
https://i.imgur.com/LCH3Cqz.png,d,19.1,A,B,C,D
https://i.imgur.com/MoATfwX.png,b,1.3,A,B,C,D
https://i.imgur.com/ajJJLVw.png,d,1.4,A,B,C,D
https://i.imgur.com/2rlrMDN.png,d,1.2,A,B,C,D
https://i.imgur.com/0mAePSq.png,b,11.1,A,B,C,D
https://i.imgur.com/aW2X7Kv.png,a,5.1,A,B,C,D
