QuestionLink,correct,category,optionA,optionB,optionC,optionD
https://i.imgur.com/QsfpO64.png,a,15.1,A,B,C,D
https://i.imgur.com/moQJmjV.png,b,15.1,A,B,C,D
https://i.imgur.com/OiUNLYD.png,b,15.1,A,B,C,D
https://i.imgur.com/TCY49tG.png,a,15.1,A,B,C,D
https://i.imgur.com/eyh9gVS.png,b,15.1,A,B,C,D
https://i.imgur.com/fNyZTh7.png,a,5.1,A,B,C,D
https://i.imgur.com/LXshzRo.png,a,5.1,A,B,C,D
https://i.imgur.com/5adKi82.png,b,5.1,A,B,C,D
https://i.imgur.com/fIY8sNS.png,b,5.1,A,B,C,D
https://i.imgur.com/iT0pZpe.png,c,5.1,A,B,C,D
https://i.imgur.com/3rmI2Im.png,d,2.1,A,B,C,D
https://i.imgur.com/msbRYTm.png,c,2.1,A,B,C,D
https://i.imgur.com/yhhGsJI.png,d,2.1,A,B,C,D
https://i.imgur.com/0j0k8Dk.png,d,2.1,A,B,C,D
https://i.imgur.com/EEhnnqe.png,a,2.1,A,B,C,D
https://i.imgur.com/lrWKEUN.png,c,2.1,A,B,C,D
https://i.imgur.com/PSxRtec.png,d,2.1,A,B,C,D
https://i.imgur.com/x0pKqUa.png,b,2.1,A,B,C,D
https://i.imgur.com/OzvSzox.png,c,9.1,A,B,C,D
https://i.imgur.com/hXGCl2N.png,d,16.1,A,B,C,D
https://i.imgur.com/ntctHHe.png,c,2.9,A,B,C,D
https://i.imgur.com/Bme8Qxc.png,c,2.9,A,B,C,D
https://i.imgur.com/IbHdaFy.png,d,2.9,A,B,C,D
https://i.imgur.com/nbIfe7O.png,c,2.9,A,B,C,D
https://i.imgur.com/1eVh1CD.png,a,2.9,A,B,C,D
https://i.imgur.com/QzO2Fuw.png,c,15.1,A,B,C,D
https://i.imgur.com/qlQID2Q.png,d,19.1,A,B,C,D
https://i.imgur.com/1DxGewU.png,a,22.1,A,B,C,D
https://i.imgur.com/BKpWbr4.png,d,4.1,A,B,C,D
https://i.imgur.com/oNRwtBn.png,c,14.1,A,B,C,D
https://i.imgur.com/xBO0414.png,c,3.4,A,B,C,D
https://i.imgur.com/Wipok2f.png,c,7.1,A,B,C,D
https://i.imgur.com/HUdbGPh.png,b,7.1,A,B,C,D
https://i.imgur.com/9Af2BfD.png,a,7.1,A,B,C,D
https://i.imgur.com/eLE267d.png,a,7.1,A,B,C,D
https://i.imgur.com/EfKN9kD.png,b,7.1,A,B,C,D
https://i.imgur.com/QITEbXP.png,d,10.1,A,B,C,D
https://i.imgur.com/iAUe91z.png,a,10.1,A,B,C,D
https://i.imgur.com/tep9VGs.png,d,21.1,A,B,C,D
https://i.imgur.com/ioSGYzK.png,a,1.2,A,B,C,D
https://i.imgur.com/mwcS03J.png,c,1.1,A,B,C,D
https://i.imgur.com/mUUR3q6.png,b,1.2,A,B,C,D
https://i.imgur.com/98vFpZK.png,a,3.3,A,B,C,D
https://i.imgur.com/5psXM25.png,c,11.1,A,B,C,D
https://i.imgur.com/Cb3j2Ly.png,b,11.1,A,B,C,D
https://i.imgur.com/7M6S8Fa.png,d,13.1,A,B,C,D
https://i.imgur.com/jA8MG1c.png,c,17.1,A,B,C,D
https://i.imgur.com/nyMuvcp.png,b,20.1,A,B,C,D
https://i.imgur.com/kNalFPj.png,d,1.5,A,B,C,D
https://i.imgur.com/Az3KHyN.png,c,5.1,A,B,C,D
