Category,Answer,QuestionLink,optionA,optionB,optionC,optionD
2.1,A,https://i.imgur.com/RhcMfZt.png,A,B,C,D
2.1,B,https://i.imgur.com/DEYThPT.png,A,B,C,D
2.1,C,https://i.imgur.com/tWJ3gCl.png,A,B,C,D
2.1,D,https://i.imgur.com/kzU8rff.png,A,B,C,D
7.1,D,https://i.imgur.com/2WcCbVj.png,A,B,C,D
7.1,B,https://i.imgur.com/a2pQuLI.png,A,B,C,D
7.1,D,https://i.imgur.com/jAs9pjN.png,A,B,C,D
7.1,C,https://i.imgur.com/4jF97cH.png,A,B,C,D
22.1,C,https://i.imgur.com/oN7lHsH.png,A,B,C,D
9.1,B,https://i.imgur.com/oL2zRJe.png,A,B,C,D
3.4,C,https://i.imgur.com/Xirh161.png,A,B,C,D
9.1,D,https://i.imgur.com/PL2t5in.png,A,B,C,D
5.1,C,https://i.imgur.com/ZIvPb8t.png,A,B,C,D
5.1,A,https://i.imgur.com/SlSrgaM.png,A,B,C,D
5.1,A,https://i.imgur.com/h7SwDI6.png,A,B,C,D
11.1,D,https://i.imgur.com/jrOdHxw.png,A,B,C,D
13.1,C,https://i.imgur.com/0sqm2dT.png,A,B,C,D
3.3,D,https://i.imgur.com/GQatQep.png,A,B,C,D
17.1,A,https://i.imgur.com/g1PQ1jo.png,A,B,C,D
17.1,B,https://i.imgur.com/g0PDnIn.png,A,B,C,D
17.1,D,https://i.imgur.com/NUeCYPx.png,A,B,C,D
1.4,C,https://i.imgur.com/6bbGnsc.png,A,B,C,D
1.5,C,https://i.imgur.com/HVh30ud.png,A,B,C,D
3.2,B,https://i.imgur.com/5ouXRI9.png,A,B,C,D
16.1,C,https://i.imgur.com/ivyyM2V.png,A,B,C,D
