Category,Answer,QuestionLink,optionA,optionB,optionC,optionD
2.1,B,https://i.imgur.com/QwjEV7c.png,A,B,C,D
2.1,A,https://i.imgur.com/Gj0bDuQ.png,A,B,C,D
2.1,C,https://i.imgur.com/OdtTNWl.png,A,B,C,D
2.1,B,https://i.imgur.com/08ywVur.png,A,B,C,D
7.1,C,https://i.imgur.com/P5J4BgC.png,A,B,C,D
7.1,C,https://i.imgur.com/GRosvfW.png,A,B,C,D
7.1,D,https://i.imgur.com/aK7E4wR.png,A,B,C,D
7.1,C,https://i.imgur.com/Uf8KTb0.png,A,B,C,D
4.1,D,https://i.imgur.com/BjUk5qX.png,A,B,C,D
19.1,B,https://i.imgur.com/uqbWAvO.png,A,B,C,D
15.1,B,https://i.imgur.com/v0eHUHe.png,A,B,C,D
13.1,C,https://i.imgur.com/eqsfyoN.png,A,B,C,D
14.1,A,https://i.imgur.com/A3ODWTd.png,A,B,C,D
5.1,C,https://i.imgur.com/rwgNa0q.png,A,B,C,D
5.1,B,https://i.imgur.com/qa1Qsco.png,A,B,C,D
17.1,C,https://i.imgur.com/GCqOlk3.png,A,B,C,D
17.1,A,https://i.imgur.com/i79fni3.png,A,B,C,D
5.1,C,https://i.imgur.com/hLf0OBU.png,A,B,C,D
5.1,C,https://i.imgur.com/P1voEwn.png,A,B,C,D
5.1,C,https://i.imgur.com/bwCtUgn.png,A,B,C,D
15.1,C,https://i.imgur.com/VgRyi1s.png,A,B,C,D
2.9,D,https://i.imgur.com/8WFFrkH.png,A,B,C,D
1.5,B,https://i.imgur.com/LE9a9Hx.png,A,B,C,D
15.1,A,https://i.imgur.com/15JMToi.png,A,B,C,D
