,Category,Correct,QuestionLink,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
0,9.1,c,https://i.imgur.com/o1LfZvZ.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
1,6.1,b,https://i.imgur.com/ErolLRy.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
2,9.1,b,https://i.imgur.com/QwDNhBd.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
3,6.1,d,https://i.imgur.com/OOXDoTv.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
4,3.1,d,https://i.imgur.com/Nqq7L35.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
5,2.1,d,https://i.imgur.com/SCDdCoG.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
6,3.1,c,https://i.imgur.com/qA835Q6.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
7,6.1,a,https://i.imgur.com/mgzzafo.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
8,3.1,b,https://i.imgur.com/bxsMo63.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
9,6.1,a,https://i.imgur.com/Z3YJORU.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
10,2.1,c,https://i.imgur.com/57ipisC.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
11,8.1,a,https://i.imgur.com/fRLPQYk.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
12,1.1,b,https://i.imgur.com/HkvFY0j.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
13,9.1,d,https://i.imgur.com/7642GXp.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
14,2.1,d,https://i.imgur.com/nHxDvJT.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
15,8.1,c,https://i.imgur.com/cW3cIdT.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
16,2.1,b,https://i.imgur.com/5RlXwo6.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
17,5.1,a,https://i.imgur.com/XeG511M.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
18,9.1,d,https://i.imgur.com/xYqsp1q.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
19,8.1,c,https://i.imgur.com/YP9S57J.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
20,5.1,b,https://i.imgur.com/au8lwbs.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
21,5.1,a,https://i.imgur.com/LJ8LpW4.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
22,1.1,b,https://i.imgur.com/G6FlQF4.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
23,6.1,a,https://i.imgur.com/vETU1oU.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
24,9.1,c,https://i.imgur.com/Lj65TzM.png,groupxmath,Hindi,Groupx,A,B,C,D,Arihant
