QuestionLink,correct,category,optionA,optionB,optionC,optionD
https://i.imgur.com/YQOzqx7.png,c,2.1,A,B,C,D
https://i.imgur.com/ofAG7WF.png,c,2.1,A,B,C,D
https://i.imgur.com/URUPwh3.png,a,2.1,A,B,C,D
https://i.imgur.com/WVJYXRg.png,c,16.1,A,B,C,D
https://i.imgur.com/6a1HTSn.png,a,15.1,A,B,C,D
https://i.imgur.com/qyO1Gy0.png,d,4.1,A,B,C,D
https://i.imgur.com/gSmqkdt.png,a,19.1,A,B,C,D
https://i.imgur.com/9t2dOra.png,b,7.1,A,B,C,D
https://i.imgur.com/MX4vqeD.png,d,7.1,A,B,C,D
https://i.imgur.com/oivOj6F.png,d,17.1,A,B,C,D
https://i.imgur.com/rXhva2n.png,a,5.1,A,B,C,D
https://i.imgur.com/s9Uekqr.png,a,11.1,A,B,C,D
https://i.imgur.com/sVWLI19.png,d,10.1,A,B,C,D
https://i.imgur.com/w5ZU83U.png,d,10.1,A,B,C,D
https://i.imgur.com/BISupp5.png,a,15.1,A,B,C,D
https://i.imgur.com/tJncnFm.png,b,17.1,A,B,C,D
https://i.imgur.com/tLNbf5e.png,b,17.1,A,B,C,D
https://i.imgur.com/rERg49f.png,c,17.1,A,B,C,D
https://i.imgur.com/zMoRIWN.png,c,3.4,A,B,C,D
https://i.imgur.com/CEVRlpz.png,d,9.1,A,B,C,D
https://i.imgur.com/HJWfmD7.png,b,2.9,A,B,C,D
https://i.imgur.com/6SGr66i.png,d,16.1,A,B,C,D
https://i.imgur.com/Ym8f4qG.png,c,22.1,A,B,C,D
https://i.imgur.com/PCwdwdL.png,d,1.5,A,B,C,D
https://i.imgur.com/OoZ5LLH.png,b,1.3,A,B,C,D
