QuestionLink,correct,category,optionA,optionB,optionC,optionD
https://i.imgur.com/97akBFO.png,a,2.1,A,B,C,D
https://i.imgur.com/mdeV3tw.png,b,2.1,A,B,C,D
https://i.imgur.com/8QnbwqK.png,a,2.1,A,B,C,D
https://i.imgur.com/eSy5RKC.png,b ,2.1,A,B,C,D
https://i.imgur.com/iekECV9.png,d,7.1,A,B,C,D
https://i.imgur.com/9K5mnST.png,c,7.1,A,B,C,D
https://i.imgur.com/Jw2TyJY.png,c,7.1,A,B,C,D
https://i.imgur.com/4yylPKh.png,a,15.1,A,B,C,D
https://i.imgur.com/pBNxvGv.png,d,4.1,A,B,C,D
https://i.imgur.com/xDKyh2U.png,a,4.1,A,B,C,D
https://i.imgur.com/3umuUgW.png,c,2.9,A,B,C,D
https://i.imgur.com/hIAth9g.png,d,15.1,A,B,C,D
https://i.imgur.com/cryNOxm.png,a,2.1,A,B,C,D
https://i.imgur.com/1yXAy8n.png,d,2.1,A,B,C,D
https://i.imgur.com/hvRK5Pf.png,b,3.4,A,B,C,D
https://i.imgur.com/isqwJfN.png,a,4.1,A,B,C,D
https://i.imgur.com/vGVibJM.png,c,5.1,A,B,C,D
https://i.imgur.com/NVuYnFK.png,a,5.1,A,B,C,D
https://i.imgur.com/EjgzafK.png,a,1.4,A,B,C,D
https://i.imgur.com/XBX9J19.png,b,10.1,A,B,C,D
https://i.imgur.com/zD3JImj.png,d,9.1,A,B,C,D
https://i.imgur.com/0wme09P.png,c,3.3,A,B,C,D
https://i.imgur.com/QvM3UA4.png,b,3.3,A,B,C,D
https://i.imgur.com/LeVuMlF.png,a,1.1,A,B,C,D
https://i.imgur.com/ktpVbYz.png,b,5.1,A,B,C,D
