sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,d,https://i.imgur.com/0Lz38QY.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
2,c,https://i.imgur.com/qlAnhae.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
3,d,https://i.imgur.com/9QmVR9J.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
4,d,https://i.imgur.com/zazOTp1.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
5,c,https://i.imgur.com/FMs9OBy.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
6,b,https://i.imgur.com/5tDtbOU.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
8,d,https://i.imgur.com/K2JXSH3.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
9,a,https://i.imgur.com/CVmX3hC.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
10,a,https://i.imgur.com/UNfNIzz.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
11,b,https://i.imgur.com/wCxcx1s.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
13,d,https://i.imgur.com/mudm9CY.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
14,b,https://i.imgur.com/zWzetp8.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
15,b,https://i.imgur.com/dSaw41l.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
16,c,https://i.imgur.com/OBneEZw.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
17,b,https://i.imgur.com/AjZgyun.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
18,c,https://i.imgur.com/0ae7ShZ.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
19,b,https://i.imgur.com/4g6RvJQ.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
20,a,https://i.imgur.com/Wn9Ph4l.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
22,c,https://i.imgur.com/vPETig8.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
23,a,https://i.imgur.com/jhksd0R.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
24,a,https://i.imgur.com/BrQngwC.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
25,a,https://i.imgur.com/44aTent.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
26,a,https://i.imgur.com/Q5hDkWN.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
27,d,https://i.imgur.com/ySdrLrQ.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
28,a,https://i.imgur.com/8lYnPZV.png,genral_science,A,B,C,D,1.1,SSC_GD,Hindi,JEN
