sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/xBFUALt.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
2,b,https://i.imgur.com/JCu36aF.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
3,b,https://i.imgur.com/TryKk5H.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
4,c,https://i.imgur.com/7yehaiA.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
5,a,https://i.imgur.com/xTrQLJn.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
6,d,https://i.imgur.com/nLQ2Umq.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
7,c,https://i.imgur.com/rDULXkb.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
8,d,https://i.imgur.com/QqWxdVd.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
9,a,https://i.imgur.com/ESmiqok.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
10,a,https://i.imgur.com/U4LV5eb.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
12,b,https://i.imgur.com/xxID0s0.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
13,c,https://i.imgur.com/V4gjS1L.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
14,a,https://i.imgur.com/Rd70SkE.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
15,a,https://i.imgur.com/7bvkVaH.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
16,b,https://i.imgur.com/L9SrYVL.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
17,c,https://i.imgur.com/TcRsqAK.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
18,c,https://i.imgur.com/rjYKS6d.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
19,b,https://i.imgur.com/8bv0T2t.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
20,a,https://i.imgur.com/NynW2tV.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
21,c,https://i.imgur.com/ytPpder.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
22,c,https://i.imgur.com/EvrTiqN.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
23,b,https://i.imgur.com/KsfS5Js.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
24,d,https://i.imgur.com/002ANmJ.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
25,a,https://i.imgur.com/lj9S5Gr.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
26,c,https://i.imgur.com/mYQdor4.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
27,a,https://i.imgur.com/hyAg0b4.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
28,c,https://i.imgur.com/OiyHnPq.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
30,b,https://i.imgur.com/NjpZiQf.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
31,c,https://i.imgur.com/ard44gp.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
32,b,https://i.imgur.com/htBwIE6.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
33,c,https://i.imgur.com/1ia6a66.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
34,b,https://i.imgur.com/6soSHsG.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
35,d,https://i.imgur.com/DF1dBPZ.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
37,b,https://i.imgur.com/9b8QNTR.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
38,a,https://i.imgur.com/XzK6LEJ.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
39,b,https://i.imgur.com/O0lxbI0.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
40,d,https://i.imgur.com/7SoCDT9.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
41,a,https://i.imgur.com/yjBvMZ5.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
42,b,https://i.imgur.com/58peL9m.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
43,a,https://i.imgur.com/19Fh1Oc.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
44,a,https://i.imgur.com/hG6xMBs.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
45,b,https://i.imgur.com/iMBTfpt.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
46,a,https://i.imgur.com/rOhSb8l.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
47,a,https://i.imgur.com/S0n8LWr.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
48,b,https://i.imgur.com/Fr0CLz8.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
49,d,https://i.imgur.com/V9uHVrj.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
50,a,https://i.imgur.com/dEUGBSi.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
