sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/QwgIXi4.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
2,a,https://i.imgur.com/b2xe9cu.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
3,c,https://i.imgur.com/S9Pbqty.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
4,a,https://i.imgur.com/6NPYELm.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
5,a,https://i.imgur.com/9VzAkfe.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
6,c,https://i.imgur.com/qSwjpKR.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
8,b,https://i.imgur.com/6ujR9A6.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
9,d,https://i.imgur.com/TqVNGrQ.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
10,b,https://i.imgur.com/NU9TMsi.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
11,d,https://i.imgur.com/4J5L05g.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
12,a,https://i.imgur.com/yiUtJYk.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
13,a,https://i.imgur.com/gkSzLxz.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
14,d,https://i.imgur.com/hMZ6m6w.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
16,b,https://i.imgur.com/sloyFjK.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
17,a,https://i.imgur.com/cWmtCVw.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
18,b,https://i.imgur.com/Zh8MjHO.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
19,c,https://i.imgur.com/XV3Kls7.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
20,c,https://i.imgur.com/ITaJjby.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
21,a,https://i.imgur.com/Uu2pyLo.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
22,d,https://i.imgur.com/b2HJNR5.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
24,c,https://i.imgur.com/H1uvBlQ.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
25,b,https://i.imgur.com/naNPDWe.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
26,d,https://i.imgur.com/6ntTlwk.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
27,d,https://i.imgur.com/x0zSodk.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
28,b,https://i.imgur.com/XO3YvZ3.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
29,a,https://i.imgur.com/xyHCxQh.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
30,b,https://i.imgur.com/YtfieGT.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
31,d,https://i.imgur.com/UHjd8GL.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
32,a,https://i.imgur.com/mQqIUCL.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
33,b,https://i.imgur.com/Ju47Zuz.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
35,d,https://i.imgur.com/qq9HTie.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
36,c,https://i.imgur.com/ZOYL1qV.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
37,d,https://i.imgur.com/m3JZaQp.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
38,a,https://i.imgur.com/Pkjz3ay.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
39,d,https://i.imgur.com/gPKadHe.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
40,b,https://i.imgur.com/BhFRULt.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
41,a,https://i.imgur.com/t1O7HDv.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
42,a,https://i.imgur.com/LjF3EnQ.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
44,c,https://i.imgur.com/3qKdzn6.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
45,a,https://i.imgur.com/s2ZTz71.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
46,d,https://i.imgur.com/4C77xXC.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
47,c,https://i.imgur.com/pMT41la.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
48,b,https://i.imgur.com/dHQORmg.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
49,b,https://i.imgur.com/J28L3G3.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
50,d,https://i.imgur.com/Qet2FmC.png,Reasoning,A,B,C,D,19.1,SSC,Hindi,JEN
