sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/Eez1uWz.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
2,c,https://i.imgur.com/rba2rCO.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
3,c,https://i.imgur.com/rIixefK.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
4,d,https://i.imgur.com/1q4RzAp.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
6,d,https://i.imgur.com/a0b8APN.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
7,c,https://i.imgur.com/dZDd7OB.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
8,d,https://i.imgur.com/ubXjpIj.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
10,c,https://i.imgur.com/xt4tyiB.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
11,c,https://i.imgur.com/DY1EYgV.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
12,c,https://i.imgur.com/Ced8u9w.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
13,d,https://i.imgur.com/RO03y7d.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
15,a,https://i.imgur.com/UmExina.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
16,c,https://i.imgur.com/sIOsKJQ.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
18,b,https://i.imgur.com/6WLFt4h.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
19,b,https://i.imgur.com/KtvtjuM.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
20,a,https://i.imgur.com/42Iq8kE.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
21,a,https://i.imgur.com/CUhkKPU.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
22,a,https://i.imgur.com/tHXEKel.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
23,c,https://i.imgur.com/bsXbmOV.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
24,c,https://i.imgur.com/zaGnkQN.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
26,d,https://i.imgur.com/hpMQlWk.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
27,d,https://i.imgur.com/MneBBmy.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
28,c,https://i.imgur.com/CRJB5MG.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
29,c,https://i.imgur.com/ZbTwApJ.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
30,d,https://i.imgur.com/SAbx29b.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
31,d,https://i.imgur.com/8Vt1rcJ.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
33,b,https://i.imgur.com/NiqaIFX.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
34,c,https://i.imgur.com/D62NPCT.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
35,c,https://i.imgur.com/d9WvvuO.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
36,c,https://i.imgur.com/EHU2K1s.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
37,d,https://i.imgur.com/h2POUuV.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
39,b,https://i.imgur.com/hl4heEE.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
40,a,https://i.imgur.com/oMRaWma.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
41,a,https://i.imgur.com/XgF31TG.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
42,b,https://i.imgur.com/LweFaff.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
43,b,https://i.imgur.com/MAyrn8h.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
45,d,https://i.imgur.com/PBqHej3.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
47,c,https://i.imgur.com/YwDDOiB.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
48,d,https://i.imgur.com/VNmXJe1.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
49,a,https://i.imgur.com/KJuJ2de.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
50,a,https://i.imgur.com/LgUoByn.png,Reasoning,A,B,C,D,3.4,SSC,Hindi,JEN
