sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,c,https://i.imgur.com/d53jZd2.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
2,d,https://i.imgur.com/loZTniD.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
3,c,https://i.imgur.com/HOPSuKW.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
4,d,https://i.imgur.com/I2qAR41.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
5,b,https://i.imgur.com/tyRtepm.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
6,b,https://i.imgur.com/JH6SgYx.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
7,a,https://i.imgur.com/03nDRxH.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
8,d,https://i.imgur.com/7mBUCDn.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
9,d,https://i.imgur.com/k01YrXA.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
10,c,https://i.imgur.com/ERbxAZQ.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
11,b,https://i.imgur.com/T2SbQLZ.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
12,c,https://i.imgur.com/Ch8Ux6d.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
13,a,https://i.imgur.com/QenviPX.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
14,d,https://i.imgur.com/4Hbv9HT.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
15,a,https://i.imgur.com/KITGBoH.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
16,a,https://i.imgur.com/oUs8bDK.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
17,b,https://i.imgur.com/NmiyUDt.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
18,b,https://i.imgur.com/CwHLaIc.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
19,b,https://i.imgur.com/Cwjm86r.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
20,b,https://i.imgur.com/sRLXphr.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
21,c,https://i.imgur.com/S3dUxTw.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
22,d,https://i.imgur.com/PrZDZ1v.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
23,d,https://i.imgur.com/lSx2fCP.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
24,a,https://i.imgur.com/Uq3rnK2.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
25,b,https://i.imgur.com/w9J8fSg.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
26,b,https://i.imgur.com/uGP7KeI.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
27,c,https://i.imgur.com/cthLeVB.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
28,c,https://i.imgur.com/dldALXK.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
29,b,https://i.imgur.com/C43MGA4.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
30,c,https://i.imgur.com/wCZNzWg.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
31,d,https://i.imgur.com/ZFS7WRm.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
33,b,https://i.imgur.com/sXRUxih.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
34,b,https://i.imgur.com/E5Gqy2o.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
35,b,https://i.imgur.com/77aocYQ.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
36,b,https://i.imgur.com/Gz9IGks.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
37,c,https://i.imgur.com/Xmv9pil.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
38,c,https://i.imgur.com/444Pk4M.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
39,a,https://i.imgur.com/yYVEJiN.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
40,a,https://i.imgur.com/I8SwFko.png,Maths,A,B,C,D,25.1,SSC,Hindi,JEN
