sl.no.,correct,QuestionLink,Direction,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/xQFyRjT.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
2,d,https://i.imgur.com/b6yYkXE.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
3,d,https://i.imgur.com/dZnfTqz.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
4,d,https://i.imgur.com/BemX1Ma.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
5,d,https://i.imgur.com/k03yXhU.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
7,d,https://i.imgur.com/IrwpzRd.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
8,c,https://i.imgur.com/mvh1dUe.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
9,b,https://i.imgur.com/iRMcQC5.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
10,a,https://i.imgur.com/TpbktcQ.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
11,b,https://i.imgur.com/H8IJrZx.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
12,c,https://i.imgur.com/JTJnuq1.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
14,d,https://i.imgur.com/lLKk5oZ.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
15,d,https://i.imgur.com/hSDaCmg.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
16,c,https://i.imgur.com/m7pWylB.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
17,c,https://i.imgur.com/hpXuFMB.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
18,d,https://i.imgur.com/9p7mqKH.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
19,c,https://i.imgur.com/bgsOyKX.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
20,c,https://i.imgur.com/S8h8aQo.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
21,b,https://i.imgur.com/ndSo3m5.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
23,a,https://i.imgur.com/HPMrTdb.png,https://i.imgur.com/zU15wRT.png,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
24,c,https://i.imgur.com/L85R5T5.png,https://i.imgur.com/zU15wRT.png,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
25,b,https://i.imgur.com/zwNIqZM.png,https://i.imgur.com/zU15wRT.png,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
26,b,https://i.imgur.com/vfnIcsX.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
27,a,https://i.imgur.com/4CrvPho.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
28,b,https://i.imgur.com/tSZkjFS.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
29,c,https://i.imgur.com/6LAtcP2.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
30,a,https://i.imgur.com/sLdcCqY.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
32,a,https://i.imgur.com/V0Hj1Oa.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
33,a,https://i.imgur.com/vNq0Nh2.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
34,b,https://i.imgur.com/pR6FHND.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
35,c,https://i.imgur.com/oGnrqN0.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
36,c,https://i.imgur.com/eRxKsj2.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
37,d,https://i.imgur.com/84yOAv2.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
38,c,https://i.imgur.com/hNLBEBi.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
39,c,https://i.imgur.com/cIV8ne1.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
40,d,https://i.imgur.com/h0T7lyE.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
41,a,https://i.imgur.com/2I0mSKU.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
42,b,https://i.imgur.com/Ag8fzPy.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
43,a,https://i.imgur.com/quKcDqE.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
44,b,https://i.imgur.com/IecpiRJ.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
45,c,https://i.imgur.com/wkQeFmR.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
46,b,https://i.imgur.com/iFQCxQf.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
47,c,https://i.imgur.com/SSrm6vC.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
48,c,https://i.imgur.com/qkVTQMT.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
49,d,https://i.imgur.com/UnvmUm1.png,,Reasoning,A,B,C,B,2.9,SSC,Hindi,JEN
