sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/vqHYKUN.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
2,d,https://i.imgur.com/FpJeF8Q.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
3,a,https://i.imgur.com/zvfQ1hK.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
4, c,https://i.imgur.com/VT9bABr.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
5,d,https://i.imgur.com/CuUwA0T.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
6,d,https://i.imgur.com/XDTppq1.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
8,b,https://i.imgur.com/11gbNEb.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
9,d,https://i.imgur.com/FSONvDN.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
10,a,https://i.imgur.com/BXZC4xq.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
11,c,https://i.imgur.com/hSuXIfy.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
12,c,https://i.imgur.com/dOMKxbF.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
14,c,https://i.imgur.com/wPF8UkD.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
15,b,https://i.imgur.com/uovtCKP.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
16,b,https://i.imgur.com/BVhZGDQ.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
17,a,https://i.imgur.com/l8q0P59.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
18,d,https://i.imgur.com/53COcFr.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
19,a,https://i.imgur.com/hwUGbD7.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
21,c,https://i.imgur.com/lKJ7UWC.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
22,b,https://i.imgur.com/jQ0FFRV.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
23,c,https://i.imgur.com/LEckjW2.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
24,b,https://i.imgur.com/OUFUO4I.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
25,c,https://i.imgur.com/apxwzIN.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
26,a,https://i.imgur.com/9xvQ8d0.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
28,b,https://i.imgur.com/8dDqdqr.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
29,b,https://i.imgur.com/v6Nqh73.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
30,b,https://i.imgur.com/0ywci3j.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
31,d,https://i.imgur.com/h2wb9xr.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
32,a,https://i.imgur.com/4p95PXw.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
33,a,https://i.imgur.com/nuHuJk8.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
34,d,https://i.imgur.com/QO0onuV.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
35,d,https://i.imgur.com/iyhOod2.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
36,d,https://i.imgur.com/ind3t3A.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
37,c,https://i.imgur.com/7uHXl4o.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
38,a,https://i.imgur.com/EF9QEPE.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
39,b,https://i.imgur.com/HuMuDOe.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
40,d,https://i.imgur.com/EgilZgT.png,Reasoning,A,B,C,D,4.1,SSC,Hindi,JEN
