sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://imgur.com/bJ0Zvfq,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
2,b,https://imgur.com/LSMm4nl,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
3,b,https://imgur.com/v2EUuBQ,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
4,b,https://imgur.com/Hw4bZQv,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
5,c,https://imgur.com/mBqHTkV,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
6,d,https://imgur.com/5M0GyjR,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
8,c,https://imgur.com/5epZf61,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
9,c,https://imgur.com/qjDlWBB,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
10,a,https://imgur.com/bvCqFE4,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
11,d,https://imgur.com/7Q0mZuK,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
12,c,https://imgur.com/KmZxqGc,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
13,b,https://imgur.com/XQVBvoP,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
14,a,https://imgur.com/fZEJQdS,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
15,c,https://imgur.com/SMY2eFN,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
16,b,https://imgur.com/wRd7q1y,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
17,c,https://imgur.com/hgILxlr,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
18,c,https://imgur.com/yTTKezC,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
19,b,https://imgur.com/bQa1IZb,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
20,c,https://imgur.com/6aYZmWD,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
21,a,https://imgur.com/JX9bwR0,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
22,d,https://imgur.com/deRIARI,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
23,b,https://imgur.com/zjpaj3u,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
24,c,https://imgur.com/8Xr0P7w,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
25,b,https://imgur.com/VMBwYO8,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
26,c,https://imgur.com/v78XjiM,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
27,d,https://imgur.com/D23I4vE,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
28,a,https://imgur.com/L5Yl9xH,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
29,a,https://imgur.com/z01w9Ru,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
30,b,https://imgur.com/zunb7Nf,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
31,c,https://imgur.com/MbnRP5h,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
32,d,https://imgur.com/1DsDYAg,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
34,a,https://imgur.com/3CNFz3x,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
35,c,https://imgur.com/Iuh64iq,Maths,A,B,C,D,4.1,SSC,Hindi,JEN
