sl.no.,correct,QuestionLink,Direction,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/r6YGzqc.png,https://i.imgur.com/lOWLAMC.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
2,d,https://i.imgur.com/ccH68o4.png,https://i.imgur.com/lOWLAMC.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
3,d,https://i.imgur.com/GS3qDGN.png,https://i.imgur.com/lOWLAMC.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
4,d,https://i.imgur.com/cjM5rs4.png,https://i.imgur.com/lOWLAMC.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
5,a,https://i.imgur.com/Co3WBs3.png,https://i.imgur.com/lOWLAMC.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
6,d,https://i.imgur.com/2LoiBBt.png,https://i.imgur.com/rV5ZvDh.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
7,c,https://i.imgur.com/Zl506aI.png,https://i.imgur.com/rV5ZvDh.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
8,b,https://i.imgur.com/OaencRE.png,https://i.imgur.com/rV5ZvDh.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
9,b,https://i.imgur.com/UCEG13b.png,https://i.imgur.com/rV5ZvDh.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
10,c,https://i.imgur.com/5h6RpOI.png,https://i.imgur.com/rV5ZvDh.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
11,d,https://i.imgur.com/Yca6dut.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
12,c,https://i.imgur.com/zMbSIbr.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
13,a,https://i.imgur.com/knTc4ET.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
14,d,https://i.imgur.com/A2paPNr.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
15,d,https://i.imgur.com/4HoZ1PW.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
16,b,https://i.imgur.com/axOMwXZ.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
17,c,https://i.imgur.com/cr6HPDq.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
18,d,https://i.imgur.com/jybyGeI.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
19,a,https://i.imgur.com/4nbM2DO.png,https://i.imgur.com/CkYR6lD.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
20,d,https://i.imgur.com/VIpH4EH.png,https://i.imgur.com/CkYR6lD.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
21,b,https://i.imgur.com/UZdMz3C.png,https://i.imgur.com/CkYR6lD.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
22,d,https://i.imgur.com/mvIPU9N.png,https://i.imgur.com/CkYR6lD.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
23,c,https://i.imgur.com/plJgt9a.png,https://i.imgur.com/CkYR6lD.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
24,b,https://i.imgur.com/kohJ8VB.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
25,b,https://i.imgur.com/cF2TcEf.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
27,d,https://i.imgur.com/psi57u1.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
28,d,https://i.imgur.com/c3szRDN.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
29,b,https://i.imgur.com/3RT8kwc.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
30,c,https://i.imgur.com/ZaVBPYD.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
31,c,https://i.imgur.com/IzLZCDW.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
32,b,https://i.imgur.com/1feKtv0.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
34,a,https://i.imgur.com/mifkFcp.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
35,d,https://i.imgur.com/roWoxKb.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
36,d,https://i.imgur.com/Rdyq22q.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
37,d,https://i.imgur.com/QtBe2BD.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
39,b,https://i.imgur.com/XkJUV5l.png,https://i.imgur.com/kXOBuxe.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
40,d,https://i.imgur.com/dsN7G90.png,https://i.imgur.com/kXOBuxe.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
41,b,https://i.imgur.com/0OSfHTj.png,https://i.imgur.com/kXOBuxe.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
42,d,https://i.imgur.com/J6fLX3d.png,https://i.imgur.com/kXOBuxe.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
43,a,https://i.imgur.com/PLcdlzi.png,,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
44,d,https://i.imgur.com/eANNU4Q.png,https://i.imgur.com/Ukofqrk.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
45,b,https://i.imgur.com/73mjcLp.png,https://i.imgur.com/Ukofqrk.png,Reasoning,A,B,C,D,20.1,SSC,Hindi,JEN
