sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/zhr4tN0.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
2,c,https://i.imgur.com/6NKQCIB.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
3,d,https://i.imgur.com/F0K1I7V.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
4,b,https://i.imgur.com/lJSTeR4.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
5,b,https://i.imgur.com/NwJXinQ.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
6,a,https://i.imgur.com/PYHOEAH.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
7,a,https://i.imgur.com/e5SmZVA.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
8,d,https://i.imgur.com/TP8O6IT.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
9,d,https://i.imgur.com/25ZV0bk.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
10,c,https://i.imgur.com/54l8XxS.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
11,a,https://i.imgur.com/f2hhpcA.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
12,c,https://i.imgur.com/rPpdb1i.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
13,d,https://i.imgur.com/Z7qb8e4.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
14,b,https://i.imgur.com/DNYJUhy.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
15,d,https://i.imgur.com/rj30eDg.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
16,a,https://i.imgur.com/hIEmXS1.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
17,b,https://i.imgur.com/Emkx0Xr.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
18,b,https://i.imgur.com/Adbx5zN.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
19,b,https://i.imgur.com/YjlKyO6.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
20,b,https://i.imgur.com/gnSYBMw.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
21,a,https://i.imgur.com/ZLBq2cr.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
22,a,https://i.imgur.com/IH3eMpN.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
23,d,https://i.imgur.com/25mMgJw.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
24,a,https://i.imgur.com/8ACT34B.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
25,b,https://i.imgur.com/c6k9BQR.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
27,b,https://i.imgur.com/TQ357F5.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
28,d,https://i.imgur.com/QcLnd1U.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
29,a,https://i.imgur.com/s2gp7cM.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
30,b,https://i.imgur.com/WRyJtk6.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
31,c,https://i.imgur.com/tbG2TjR.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
32,c,https://i.imgur.com/O5k6niJ.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
33,a,https://i.imgur.com/7PMp7dd.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
34,b,https://i.imgur.com/aWxQCUC.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
35,c,https://i.imgur.com/KeGjqQS.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
36,b,https://i.imgur.com/HyCobYJ.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
37,c,https://i.imgur.com/ickaMxG.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
38,d,https://i.imgur.com/8Y9xyLj.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
39,b,https://i.imgur.com/zec0aUO.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
40,d,https://i.imgur.com/U1qX4Tm.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
41,d,https://i.imgur.com/9vSfbwX.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
43,b,https://i.imgur.com/pKpcjKj.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
44,a,https://i.imgur.com/KOW0I1r.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
45,b,https://i.imgur.com/Ys7ETOy.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
46,d,https://i.imgur.com/sgXznfZ.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
47,b,https://i.imgur.com/S0tWBpA.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
48,a,https://i.imgur.com/zRyHn4S.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
49,d,https://i.imgur.com/CXDbw1r.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
50,a,https://i.imgur.com/0d6OYHI.png,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN
