sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/udLbaa8.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
2,a,https://i.imgur.com/TGiniFv.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
3,a,https://i.imgur.com/MzSmGCT.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
4,b,https://i.imgur.com/OzxzvRz.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
5,b,https://i.imgur.com/lbt3FGq.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
6,b,https://i.imgur.com/gavCjxM.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
7,d,https://i.imgur.com/IfYSm84.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
8,a,https://i.imgur.com/hM9F3cP.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
9,a,https://i.imgur.com/Hy4FCt9.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
10,a,https://i.imgur.com/xa5rdI5.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
11,a,https://i.imgur.com/cHt3tsr.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
12,d,https://i.imgur.com/R3PotGb.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
13,b,https://i.imgur.com/ZOI7xUp.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
15,d,https://i.imgur.com/t9ZuqMS.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
16,d,https://i.imgur.com/6LQsUoz.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
17,a,https://i.imgur.com/leHDn3j.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
18,d,https://i.imgur.com/XGLAiEA.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
19,b,https://i.imgur.com/QMt9Rxy.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
20,a,https://i.imgur.com/VgfpYwU.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
21,d,https://i.imgur.com/N7It81V.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
22,a,https://i.imgur.com/gLm3FWc.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
24,c,https://i.imgur.com/tsXDbw7.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
25,a,https://i.imgur.com/hjLI9iV.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
26,b,https://i.imgur.com/3H2v45g.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
27,d,https://i.imgur.com/DV99G0D.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
28,b,https://i.imgur.com/Nk2jnlL.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
29,a,https://i.imgur.com/MtxFy1Y.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
30,a,https://i.imgur.com/49WLaqJ.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
32,d,https://i.imgur.com/MzJD7Tq.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
33,c,https://i.imgur.com/XT968ZI.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
34,b,https://i.imgur.com/eh5DeUR.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
35,b,https://i.imgur.com/eW2EdbY.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
36,c,https://i.imgur.com/hTV0TAj.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
37,a,https://i.imgur.com/xkYo0LD.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
38,c,https://i.imgur.com/WA0J0fJ.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
39,c,https://i.imgur.com/cefnrDo.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
40,c,https://i.imgur.com/qj4h27w.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
42,c,https://i.imgur.com/g1sxb9D.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
43,c,https://i.imgur.com/S0slcuQ.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
44,b,https://i.imgur.com/vMFmC63.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
45,a,https://i.imgur.com/oyibR57.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
46,d,https://i.imgur.com/0AgiJzG.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
47,d,https://i.imgur.com/VoLIG9n.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
48,c,https://i.imgur.com/n4MYgTE.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
49,c,https://i.imgur.com/eOhByIJ.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
50,d,https://i.imgur.com/oTF3C93.png,Maths,A,B,C,D,24.1,SSC,Hindi,JEN
