sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/lzwLzko.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
2,d,https://i.imgur.com/2JaEyNj.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
3,b,https://i.imgur.com/nayDEoD.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
4,c,https://i.imgur.com/r0exLcM.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
5,a,https://i.imgur.com/Drrbiwg.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
6,c,https://i.imgur.com/BQCFSal.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
7,d,https://i.imgur.com/d3alSvY.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
8,c,https://i.imgur.com/WnABIqi.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
9,c,https://i.imgur.com/tindD74.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
10,b,https://i.imgur.com/vw9ZMHT.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
11,d,https://i.imgur.com/hW2iN2p.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
12,b,https://i.imgur.com/OQJBPgW.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
13,a,https://i.imgur.com/iiPsP0f.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
14,d,https://i.imgur.com/T2KuVA5.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
15,c,https://i.imgur.com/PfgN4jE.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
16,b,https://i.imgur.com/ae7BpPz.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
17,b,https://i.imgur.com/VCeAdo8.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
18,b,https://i.imgur.com/69YVjhS.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
19,b,https://i.imgur.com/IxfQ3cb.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
20,a,https://i.imgur.com/kByxbq6.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
21,b,https://i.imgur.com/UvxJdp0.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
22,a,https://i.imgur.com/AgBMqYw.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
23,a,https://i.imgur.com/FWiB7CV.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
25,b,https://i.imgur.com/n0X5GcE.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
26,a,https://i.imgur.com/LthxOnx.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
27,b,https://i.imgur.com/VTQkJYs.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
28,c,https://i.imgur.com/9pHPa4P.png,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN
