sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/oMyKpKK.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
2,b,https://i.imgur.com/jjSnCAs.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
3,d,https://i.imgur.com/XdRCuKW.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
4,d,https://i.imgur.com/xJIcpiY.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
6,b,https://i.imgur.com/QURWupJ.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
7,c,https://i.imgur.com/eSfdtJ3.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
8,a,https://i.imgur.com/lbd1dfY.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
9,c,https://i.imgur.com/xonGde0.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
10,c,https://i.imgur.com/XO1IVTW.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
11,c,https://i.imgur.com/VMbb2o2.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
12,a,https://i.imgur.com/DyAmnlG.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
13,b,https://i.imgur.com/9JymGMM.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
14,c,https://i.imgur.com/MRB7R1w.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
15,c,https://i.imgur.com/QC2kCT3.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
16,b,https://i.imgur.com/OcBZ7nH.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
17,d,https://i.imgur.com/SMb5ZnS.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
18,d,https://i.imgur.com/i7nPvRN.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
19,d,https://i.imgur.com/Ituijze.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
20,d,https://i.imgur.com/PrX8lkZ.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
21,b,https://i.imgur.com/Bh4UEGv.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
22,c,https://i.imgur.com/dYfGgdK.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
23,c,https://i.imgur.com/kybLjIc.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
24,b,https://i.imgur.com/1UV6bh7.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
25,a,https://i.imgur.com/0PK78wZ.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
26,c,https://i.imgur.com/8ZIHbxf.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
27,a,https://i.imgur.com/sBkvAoO.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
28,d,https://i.imgur.com/UzwCMYS.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
29,c,https://i.imgur.com/87eQFzE.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
30,c,https://i.imgur.com/MnIzNcj.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
31,b,https://i.imgur.com/7831Kja.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
32,a,https://i.imgur.com/1vMLhAv.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
33,c,https://i.imgur.com/vrFm4LI.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
34,c,https://i.imgur.com/NIoNfcQ.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
35,a,https://i.imgur.com/NH9kffW.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
36,c,https://i.imgur.com/hhugVJz.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
37,a,https://i.imgur.com/kSLA6Vx.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
38,d,https://i.imgur.com/n4tXPmr.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
40,d,https://i.imgur.com/Z4lfQCx.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
41,b,https://i.imgur.com/ogixK7h.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
42,b,https://i.imgur.com/m9aezOl.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
43,b,https://i.imgur.com/hCtEfTP.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
44,c,https://i.imgur.com/v4B5ADH.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
45,b,https://i.imgur.com/OWrzFAF.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
46,d,https://i.imgur.com/gzXP6yg.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
47,c,https://i.imgur.com/vHW7EC4.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
48,a,https://i.imgur.com/KVG13De.png,Reasoning,A,B,C,D,1.6,SSC,Hindi,JEN
