sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/AOSW8Vy.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
4,b,https://i.imgur.com/1wOE65K.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
6,a,https://i.imgur.com/msk6y3i.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
7,a,https://i.imgur.com/FQ0DSyb.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
8,a,https://i.imgur.com/mcZ2j3T.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
9,d,https://i.imgur.com/AlH1Tes.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
11,b,https://i.imgur.com/X5aaSA6.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
12,d,https://i.imgur.com/ceUZLBX.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
13,c,https://i.imgur.com/rvOQNNr.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
14,d,https://i.imgur.com/iajpD8s.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
15,b,https://i.imgur.com/EgxR2UC.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
17,a,https://i.imgur.com/bVWaRVT.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
18,a,https://i.imgur.com/JwurMnl.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
19,b,https://i.imgur.com/ZrP0bdV.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
20,c,https://i.imgur.com/7avyBJs.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
21,b,https://i.imgur.com/GEsBfe0.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
22,a,https://i.imgur.com/R3oo8I0.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
23,a,https://i.imgur.com/8IxWlz1.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
25,b,https://i.imgur.com/zYbsJl6.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
26,d,https://i.imgur.com/NQANQiT.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
27,a,https://i.imgur.com/GfvSczM.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
28,c,https://i.imgur.com/enNA6e2.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
29,d,https://i.imgur.com/W5hDGXc.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
31,d,https://i.imgur.com/JW3nkwv.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
32,b,https://i.imgur.com/A0LRayO.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
33,c,https://i.imgur.com/LVYcFRK.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
34,a,https://i.imgur.com/TupNQn7.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
35,c,https://i.imgur.com/jP4jURC.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
36,b,https://i.imgur.com/qALXRph.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
38,b,https://i.imgur.com/tuVDYQS.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
39,c,https://i.imgur.com/5mY9Wt1.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
40,c,https://i.imgur.com/Ju8POqB.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
41,c,https://i.imgur.com/Mp3F10M.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
42,d,https://i.imgur.com/NhgVeY1.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
43,c,https://i.imgur.com/lQdbpy8.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
45,a,https://i.imgur.com/87kAkVi.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
46,a,https://i.imgur.com/LffLapQ.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
47,b,https://i.imgur.com/gtZO7Fg.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
48,b,https://i.imgur.com/BFpni9t.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
49,a,https://i.imgur.com/nmC5v20.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
50,d,https://i.imgur.com/FxDCi20.png,Reasoning,A,B,C,D,9.1,SSC,Hindi,JEN
