num,correct,QuestionLink,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor,category
1,2,https://i.imgur.com/QpSwjGY.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
2,4,https://i.imgur.com/nqV2Ifn.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
3,1,https://i.imgur.com/Z72vA1U.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
4,1,https://i.imgur.com/xSMW2T7.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
5,2,https://i.imgur.com/uo0V65K.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
6,3,https://i.imgur.com/nr1ZhZZ.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
7,1,https://i.imgur.com/qsrtDv9.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
8,2,https://i.imgur.com/cWuJM34.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
9,4,https://i.imgur.com/t8feBas.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
10,1,https://i.imgur.com/S0svQTk.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
11,3,https://i.imgur.com/wrQYpz0.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
12,3,https://i.imgur.com/Y7bwsFO.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
13,4,https://i.imgur.com/dSJyHvM.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
14,1,https://i.imgur.com/crZ5gkr.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
15,1,https://i.imgur.com/TRQzpZf.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
16,3,https://i.imgur.com/1e5k26Y.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
17,1,https://i.imgur.com/4Y57NEL.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
18,3,https://i.imgur.com/Y3Vkok6.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
19,3,https://i.imgur.com/H5EW1A2.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
20,3,https://i.imgur.com/Hnu841X.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
21,3,https://i.imgur.com/rpR722f.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
22,4,https://i.imgur.com/H4cyPRS.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
23,1,https://i.imgur.com/JoWv7rI.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
24,3,https://i.imgur.com/Y9juRqB.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
25,3,https://i.imgur.com/2scchox.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
26,4,https://i.imgur.com/C150Luk.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
27,4,https://i.imgur.com/sADpc5Q.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
28,2,https://i.imgur.com/8B4mu35.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
29,1,https://i.imgur.com/yY3Wk5I.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
30,4,https://i.imgur.com/7GnQhAk.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
