num,correct,QuestionLink,category,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor
1,4,https://i.imgur.com/Qg3nEEV.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
2,1,https://i.imgur.com/4f8lzZz.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
3,2,https://i.imgur.com/FMBbEGS.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
4,3,https://i.imgur.com/wNRo80O.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
5,4,https://i.imgur.com/Lx5iV4N.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
6,4,https://i.imgur.com/Xccdn0n.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
7,3,https://i.imgur.com/I21NJAE.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
8,4,https://i.imgur.com/gvXUDhw.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
9,2,https://i.imgur.com/Kg6UETW.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
10,3,https://i.imgur.com/E7w5p78.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
11,2,https://i.imgur.com/ghSwt3R.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
12,3,https://i.imgur.com/VpztkuU.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
13,4,https://i.imgur.com/kHxZlM4.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
14,4,https://i.imgur.com/rNkAPJl.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
15,1,https://i.imgur.com/HVia00X.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
16,1,https://i.imgur.com/vUUeaLf.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
17,2,https://i.imgur.com/DdmZbUB.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
18,1,https://i.imgur.com/24l7qlp.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
19,3,https://i.imgur.com/hKmM5TT.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
20,2,https://i.imgur.com/KGJsRa2.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
21,2,https://i.imgur.com/QcxpyDw.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
22,1,https://i.imgur.com/1CQOzGO.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
23,4,https://i.imgur.com/R6Czjlp.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
24,2,https://i.imgur.com/KtCCNDr.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
25,1,https://i.imgur.com/6MKbURF.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
26,1,https://i.imgur.com/2TXP17X.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
27,2,https://i.imgur.com/VYlrO6L.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
28,1,https://i.imgur.com/6Gc8Teo.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
29,3,https://i.imgur.com/KVIwcae.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
30,3,https://i.imgur.com/VT0hckJ.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
31,3,https://i.imgur.com/CK0g6zp.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
32,4,https://i.imgur.com/2hbzUAk.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
33,2,https://i.imgur.com/vLPqd6Z.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
34,2,https://i.imgur.com/Jk9OdvA.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
35,3,https://i.imgur.com/eOcMy3W.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
36,2,https://i.imgur.com/oTGhK8x.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
37,2,https://i.imgur.com/nBO5doi.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
38,2,https://i.imgur.com/QfKosHc.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
39,4,https://i.imgur.com/8csB4rJ.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
40,1,https://i.imgur.com/CPUFI0Q.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
41,1,https://i.imgur.com/uFoAqEw.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
42,1,https://i.imgur.com/QYAOjRl.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
43,4,https://i.imgur.com/8VKBbnv.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
44,3,https://i.imgur.com/0wL8vTq.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
45,4,https://i.imgur.com/O33Am3S.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
46,1,https://i.imgur.com/hJOJ8tv.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
47,1,https://i.imgur.com/JC6KGgb.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
48,1,https://i.imgur.com/N8b6EXp.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
49,1,https://i.imgur.com/llM50Yk.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
50,4,https://i.imgur.com/BBSELB7.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
51,2,https://i.imgur.com/LUd6Eri.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
52,2,https://i.imgur.com/B1KRWqy.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
53,2,https://i.imgur.com/Pyz9Ziu.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
54,2,https://i.imgur.com/shaWzsi.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
55,4,https://i.imgur.com/3qxG5ae.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
56,1,https://i.imgur.com/ZTinBye.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
57,3,https://i.imgur.com/BnN91zr.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
58,3,https://i.imgur.com/3OLmBNX.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
59,1,https://i.imgur.com/hf8KyJS.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
60,1,https://i.imgur.com/91QtgoH.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
61,4,https://i.imgur.com/8VT1Nge.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
62,3,https://i.imgur.com/pQ5Akdi.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
63,3,https://i.imgur.com/shpi7nE.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
64,3,https://i.imgur.com/YbkHACC.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
65,1,https://i.imgur.com/2YB2xzd.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
66,4,https://i.imgur.com/uYHDSQC.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
67,1,https://i.imgur.com/oMJiKla.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
68,3,https://i.imgur.com/b37mYk7.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
69,3,https://i.imgur.com/bBuoxPy.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
70,1,https://i.imgur.com/ZuKwtbA.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
71,1,https://i.imgur.com/P3jVYiR.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
72,3,https://i.imgur.com/qoGTzKj.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
73,1,https://i.imgur.com/pQG8J46.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
74,1,https://i.imgur.com/DD79sZS.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
75,3,https://i.imgur.com/RWzFGBb.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
76,2,https://i.imgur.com/fGlbV4k.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
77,3,https://i.imgur.com/ZiM3sov.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
78,4,https://i.imgur.com/IrOqqNj.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
79,4,https://i.imgur.com/E8cmE5Q.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
80,2,https://i.imgur.com/fjGATRa.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
81,2,https://i.imgur.com/c2mhQrB.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
82,2,https://i.imgur.com/4JRgWZR.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
83,2,https://i.imgur.com/WqyzBlG.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
84,4,https://i.imgur.com/t3cy9kM.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
85,2,https://i.imgur.com/ZQh0QT4.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
86,4,https://i.imgur.com/4nyLwW4.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
87,4,https://i.imgur.com/BD4Y0L0.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
88,2,https://i.imgur.com/dCNnxc8.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
89,3,https://i.imgur.com/bN04ErW.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
90,2,https://i.imgur.com/GKRSiLK.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
91,4,https://i.imgur.com/yZm5WuN.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
92,1,https://i.imgur.com/dvrd8hC.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
93,2,https://i.imgur.com/su2S1Ox.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
94,4,https://i.imgur.com/a60OOqD.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
95,1,https://i.imgur.com/eMzHMEb.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
96,3,https://i.imgur.com/wUsPbl8.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
97,2,https://i.imgur.com/vnDbxLV.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
98,2,https://i.imgur.com/3tEUtVL.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
99,2,https://i.imgur.com/nkwsuc8.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
100,1,https://i.imgur.com/BAibB6f.png,1.1,jeeMaths12,English,A,B,C,D,JITO,IITJEE12
