num,correct,QuestionLink,category,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor
1,2,https://i.imgur.com/bjbvqeZ.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
2,3,https://i.imgur.com/lCxrQuY.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
3,1,https://i.imgur.com/BtN3eNo.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
4,4,https://i.imgur.com/cjkNHMg.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
5,3,https://i.imgur.com/ljrUUZM.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
6,4,https://i.imgur.com/6HHOuvp.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
7,1,https://i.imgur.com/0bmDxZK.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
8,4,https://i.imgur.com/n0s6ES2.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
9,2,https://i.imgur.com/c4jBRDJ.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
10,2,https://i.imgur.com/lxGnJFc.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
11,4,https://i.imgur.com/2ViAazA.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
12,4,https://i.imgur.com/kw1iG1M.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
13,3,https://i.imgur.com/NZHPXP0.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
14,2,https://i.imgur.com/SQw69xF.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
15,3,https://i.imgur.com/ODazigN.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
16,3,https://i.imgur.com/l62VxQ8.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
17,1,https://i.imgur.com/3qkxCYz.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
18,3,https://i.imgur.com/BJQnlzJ.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
19,1,https://i.imgur.com/4FmLo0B.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
20,4,https://i.imgur.com/PxFuuH4.png,1.1,jeeMaths10,English,A,B,C,D,JITO,IITJEE10
