sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,d,https://i.imgur.com/GVItOa3.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
2,d,https://i.imgur.com/Wce5huy.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
3,d,https://i.imgur.com/FhywV06.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
4,d,https://i.imgur.com/5CsI5sY.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
5,d,https://i.imgur.com/rwesjW9.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
6,d,https://i.imgur.com/kL8Q3u7.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
7,d,https://i.imgur.com/9ZLWRbP.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
8,d,https://i.imgur.com/GNyzH34.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
9,d,https://i.imgur.com/v9h187N.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
10,d,https://i.imgur.com/ARCU0wv.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
11,d,https://i.imgur.com/WWUaAwx.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
12,b,https://i.imgur.com/WfvzJfQ.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
13,b,https://i.imgur.com/cgCBe1K.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
14,c,https://i.imgur.com/QnJXNY3.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
15,b,https://i.imgur.com/7GlHUMz.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
17,a,https://i.imgur.com/FlwRvZ3.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
18,b,https://i.imgur.com/QWpockC.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
19,d,https://i.imgur.com/4ueemLC.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
20,d,https://i.imgur.com/zrqctgB.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
21,c,https://i.imgur.com/sFx30Ye.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
22,c,https://i.imgur.com/ItwdAUY.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
24,c,https://i.imgur.com/cWZdKUs.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
25,a,https://i.imgur.com/nfY96Gd.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
26,d,https://i.imgur.com/7qgZu64.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
27,d,https://i.imgur.com/6kYCRSO.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
28,d,https://i.imgur.com/7LDSLDV.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
29,b,https://i.imgur.com/3ZZgUIT.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
30,c,https://i.imgur.com/ey2VUt1.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
32,d,https://i.imgur.com/dWH23eu.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
33,d,https://i.imgur.com/Oshagit.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
34,d,https://i.imgur.com/DnyNdTZ.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
35,d,https://i.imgur.com/8x6j8vN.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
36,a,https://i.imgur.com/69FDrwF.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
37,d,https://i.imgur.com/28mkBnu.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
38,d,https://i.imgur.com/jXDOUkw.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
40,c,https://i.imgur.com/4CyYDlx.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
41,c,https://i.imgur.com/JrlNOWQ.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
42,c,https://i.imgur.com/8jCOe1n.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
43,d,https://i.imgur.com/mBkTR1q.png,locopilot_diesel,A,B,C,D,10.1,locopilot_diesel,Hindi,JEN
