sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/dK5t6R7.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
2,b,https://i.imgur.com/0BY1nzU.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
3,c,https://i.imgur.com/LYyOhFd.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
4,c,https://i.imgur.com/Dt8smkY.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
5,b,https://i.imgur.com/TeOAQk7.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
6,d,https://i.imgur.com/jDVaoi3.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
7,d,https://i.imgur.com/f17UpgR.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
8,b,https://i.imgur.com/jaAOXNQ.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
9,a,https://i.imgur.com/1X6mwux.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
10,c,https://i.imgur.com/s9PCP0x.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
11,d,https://i.imgur.com/pQbi7Wm.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
12,c,https://i.imgur.com/nzjb2Ap.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
13,a,https://i.imgur.com/5NDJqNe.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
14,a,https://i.imgur.com/jTZUAPb.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
15,b,https://i.imgur.com/B5nAMIv.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
16,d,https://i.imgur.com/1v0vnVF.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
17,d,https://i.imgur.com/81W51gk.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
18,d,https://i.imgur.com/039k62a.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
19,a,https://i.imgur.com/erqB8Kr.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
20,c,https://i.imgur.com/31Jjt6b.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
22,d,https://i.imgur.com/XMnZFCQ.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
