sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,d,https://i.imgur.com/9Qc2lsg.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
2,d,https://i.imgur.com/9vdstBn.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
3,d,https://i.imgur.com/ndLNxCJ.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
4,c,https://i.imgur.com/Dk7gvCI.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
5,d,https://i.imgur.com/SLPH5EV.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
6,d,https://i.imgur.com/qnhjLY3.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
7,c,https://i.imgur.com/sHZQAwi.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
8,c,https://i.imgur.com/kYNJeR2.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
9,d,https://i.imgur.com/1oUjIFD.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
10,b,https://i.imgur.com/Kh8INzn.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
12,d,https://i.imgur.com/KqUPTdH.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
13,d,https://i.imgur.com/mHHqssz.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
14,c,https://i.imgur.com/KQScjLv.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
15,c,https://i.imgur.com/2IaaCtn.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
16,c,https://i.imgur.com/PeSS72X.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
17,c,https://i.imgur.com/wptZRmP.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
18,b,https://i.imgur.com/AoryaLc.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
19,a,https://i.imgur.com/hLVsLaf.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
20,c,https://i.imgur.com/BdeB8cD.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
21,a,https://i.imgur.com/fsw3LKt.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
22,d,https://i.imgur.com/U35zZHP.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
24,b,https://i.imgur.com/GQ24lZG.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
25,d,https://i.imgur.com/X6WZKfi.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
26,d,https://i.imgur.com/ZB9lsG1.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
27,a,https://i.imgur.com/0dhidC3.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
28,d,https://i.imgur.com/4oxftxl.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
29,c,https://i.imgur.com/OTRj0KR.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
30,d,https://i.imgur.com/Vfnncvt.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
31,b,https://i.imgur.com/K3V8J7f.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
32,a,https://i.imgur.com/yAvuNbf.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
33,a,https://i.imgur.com/n1Uu2XJ.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
35,b,https://i.imgur.com/sE1NZbM.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
36,d,https://i.imgur.com/Cv6tEvZ.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
37,d,https://i.imgur.com/gSR1HJQ.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
38,c,https://i.imgur.com/eZEvkpo.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
39,d,https://i.imgur.com/zfRPgnf.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
40,d,https://i.imgur.com/ipLH1Hq.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
41,a,https://i.imgur.com/z47liZe.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
42,d,https://i.imgur.com/ghXGLg3.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
43,c,https://i.imgur.com/ay07sqd.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
45,d,https://i.imgur.com/kCb0v6O.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
46,d,https://i.imgur.com/AqyNfhq.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
47,d,https://i.imgur.com/nFZBhIp.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
48,d,https://i.imgur.com/rLsSiJO.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
49,c,https://i.imgur.com/DiYdW98.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
50,d,https://i.imgur.com/6kIBRen.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
51,c,https://i.imgur.com/4np3HO2.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
52,d,https://i.imgur.com/6PYQlpr.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
53,a,https://i.imgur.com/qMTVxtd.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
