sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,c,https://i.imgur.com/lTfXLZT.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
2,d,https://i.imgur.com/0BgbCFf.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
3,a,https://i.imgur.com/ErnoSvy.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
4,b,https://i.imgur.com/4hpSVZe.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
5,a,https://i.imgur.com/z7B3CaJ.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
6,d,https://i.imgur.com/nYnD2SW.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
7,d,https://i.imgur.com/N5qinZy.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
8,b,https://i.imgur.com/CeiKmXB.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
9,c,https://i.imgur.com/bliGeeR.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
10,b,https://i.imgur.com/J6Qqc0P.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
11,a,https://i.imgur.com/S4zgg5r.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
12,c,https://i.imgur.com/9IILq0O.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
13,d,https://i.imgur.com/pnRmXSt.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
14,a,https://i.imgur.com/rYlQHEi.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
15,d,https://i.imgur.com/Yw3OSJF.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
16,b,https://i.imgur.com/XyZRE89.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
17,c,https://i.imgur.com/vphrY8Z.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
18,b,https://i.imgur.com/FU1acoR.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
19,a,https://i.imgur.com/vf2JOzW.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
20,c,https://i.imgur.com/1CnbC20.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
21,b,https://i.imgur.com/unyFCQW.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
22,c,https://i.imgur.com/vM4aTy4.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
23,c,https://i.imgur.com/8DP2II1.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
24,b,https://i.imgur.com/3zc7A4b.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
25,d,https://i.imgur.com/s7JcQlz.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
26,d,https://i.imgur.com/bqs7YFN.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
27,d,https://i.imgur.com/eDCa8CH.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
28,b,https://i.imgur.com/bd1HSYu.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
29,a,https://i.imgur.com/ybJfB55.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
30,b,https://i.imgur.com/cwto0vt.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
31,d,https://i.imgur.com/3IXGbJT.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
32,d,https://i.imgur.com/eHZL1kn.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
33,b,https://i.imgur.com/gW0W5J4.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
35,d,https://i.imgur.com/E7bxbf7.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
36,a,https://i.imgur.com/0AjS5Zc.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
37,b,https://i.imgur.com/08zT6bF.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
38,c,https://i.imgur.com/hGT0g6r.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
39,a,https://i.imgur.com/aTvfSFi.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
40,b,https://i.imgur.com/075dJ5l.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
41,c,https://i.imgur.com/KXwa5yk.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
42,d,https://i.imgur.com/hGqQZun.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
43,d,https://i.imgur.com/fqYD2Pg.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
45,b,https://i.imgur.com/qpD9zR8.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
46,a,https://i.imgur.com/wUArZTJ.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
47,a,https://i.imgur.com/FTQ1au2.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
48,b,https://i.imgur.com/v3Mg6uh.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
49,d,https://i.imgur.com/xFvwdOs.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
50,a,https://i.imgur.com/6BtsEDJ.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
51,a,https://i.imgur.com/bq41vby.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
52,b,https://i.imgur.com/sL5ka3P.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
53,d,https://i.imgur.com/20ZSU8J.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
54,d,https://i.imgur.com/TjIoEUM.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
55,d,https://i.imgur.com/fP88jkn.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
56,b,https://i.imgur.com/gVlG7Bk.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
58,c,https://i.imgur.com/Jf9MlI9.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
59,b,https://i.imgur.com/hgOzQOl.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
