sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/i0Q9jev.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
2,a,https://i.imgur.com/tob7tHI.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
3,c,https://i.imgur.com/eHUJ5s9.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
4,d,https://i.imgur.com/5jqxvvb.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
5,c,https://i.imgur.com/F2udDlF.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
6,a,https://i.imgur.com/hHuW7Z7.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
7,a,https://i.imgur.com/iDBuTyB.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
8,d,https://i.imgur.com/7vMtwc5.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
9,c,https://i.imgur.com/JfzFpTP.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
10,d,https://i.imgur.com/D57lcjb.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
12,c,https://i.imgur.com/uYGhUev.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
13,b,https://i.imgur.com/57kXLp9.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
14,d,https://i.imgur.com/ybX2Nwq.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
15,b,https://i.imgur.com/Z7UNBFy.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
16,d,https://i.imgur.com/9bYFKY3.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
17,b,https://i.imgur.com/Io0kr45.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
18,b,https://i.imgur.com/O9YYiod.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
19,d,https://i.imgur.com/l05TA4V.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
20,b,https://i.imgur.com/AITlpyy.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
21,c,https://i.imgur.com/1mFBw6w.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
22,d,https://i.imgur.com/D9O9QDZ.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
23,c,https://i.imgur.com/N8BiOLP.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
25,b,https://i.imgur.com/uPrdqdl.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
26,d,https://i.imgur.com/swIoO3p.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
27,b,https://i.imgur.com/cEA8oKm.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
28,c,https://i.imgur.com/5XnvEo2.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
29,b,https://i.imgur.com/4F9vHHP.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
30,a,https://i.imgur.com/J0tt0CN.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
31,d,https://i.imgur.com/qPtkxrk.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
32,a,https://i.imgur.com/9AGR1lL.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
33,c,https://i.imgur.com/abI7Ac1.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
34,d,https://i.imgur.com/ohaJ6F8.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
35,d,https://i.imgur.com/WfDGKoN.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
36,b,https://i.imgur.com/DFOEPvi.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
37,b,https://i.imgur.com/px7dZV7.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
