sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/066bbNU.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
2,b,https://i.imgur.com/T0qNKTy.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
3,d,https://i.imgur.com/5O3eA80.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
4,b,https://i.imgur.com/qaaOgkJ.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
5,a,https://i.imgur.com/vo6vUvs.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
6,c,https://i.imgur.com/zT9hykN.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
7,d,https://i.imgur.com/9yaXK9J.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
8,b,https://i.imgur.com/DkDmDMf.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
9,d,https://i.imgur.com/JTLVpFh.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
10,d,https://i.imgur.com/ZXAdav0.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
11,d,https://i.imgur.com/bPZACNg.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
12,b,https://i.imgur.com/w4UKBP9.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
13,d,https://i.imgur.com/6sYcBh7.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
14,d,https://i.imgur.com/bEXiuT6.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
15,b,https://i.imgur.com/dE17pFZ.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
16,a,https://i.imgur.com/EVFeLMN.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
17,a,https://i.imgur.com/eOQR1uo.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
18,c,https://i.imgur.com/3btRxL1.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
19,a,https://i.imgur.com/7WOHXxl.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
20,d,https://i.imgur.com/cqdTWfM.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
21,d,https://i.imgur.com/e6LVRRO.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
22,a,https://i.imgur.com/vdkRvr4.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
23,d,https://i.imgur.com/rGvujVi.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
24,d,https://i.imgur.com/l1YDBh2.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
26,d,https://i.imgur.com/kAnOV81.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
27,d,https://i.imgur.com/9o8ZbrS.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
28,d,https://i.imgur.com/jcxWrxv.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
29,a,https://i.imgur.com/6cgV3qy.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
30,c,https://i.imgur.com/ciTGHEE.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
31,c,https://i.imgur.com/r8vHs9u.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
32,c,https://i.imgur.com/wSJD1TR.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
33,d,https://i.imgur.com/wrwxyhZ.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
34,d,https://i.imgur.com/L2ZbzsL.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
35,a,https://i.imgur.com/Dq7gOyz.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
36,b,https://i.imgur.com/rZ7LvZi.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
37,d,https://i.imgur.com/R81T3Nh.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
39,d,https://i.imgur.com/aOJXr7A.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
40,d,https://i.imgur.com/htWV5mR.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
41,a,https://i.imgur.com/mWeD8X3.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
42,b,https://i.imgur.com/LSe7jbi.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
43,d,https://i.imgur.com/oQ4CXCu.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
44,c,https://i.imgur.com/Md1wAMV.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
45,c,https://i.imgur.com/DVWKuYl.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
46,d,https://i.imgur.com/iWgMiN9.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
47,a,https://i.imgur.com/HevX659.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
48,c,https://i.imgur.com/8tydfOt.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
