sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,d,https://i.imgur.com/t6U1TsE.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
2,a,https://i.imgur.com/Jj3ow2l.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
3,c,https://i.imgur.com/sLIK9Hn.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
4,d,https://i.imgur.com/EnVkIGQ.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
5,d,https://i.imgur.com/DqrqK48.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
6,d,https://i.imgur.com/3tNQBHc.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
7,b,https://i.imgur.com/hWisbbG.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
8,b,https://i.imgur.com/pcEpxkr.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
9,a,https://i.imgur.com/Cz15YsW.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
10,d,https://i.imgur.com/JXGyN4n.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
12,c,https://i.imgur.com/pJrLhuJ.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
13,d,https://i.imgur.com/7yBjkV8.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
14,a,https://i.imgur.com/tBNdUkZ.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
15,c,https://i.imgur.com/761EgzV.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
16,d,https://i.imgur.com/bamNr0g.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
17,c,https://i.imgur.com/odexkaI.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
18,d,https://i.imgur.com/Asxjz8R.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
19,b,https://i.imgur.com/mNF3kUK.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
20,c,https://i.imgur.com/KLZ1LQe.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
21,b,https://i.imgur.com/AmL5V1K.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
23,b,https://i.imgur.com/PyOLS13.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
24,d,https://i.imgur.com/5Xgh0Bt.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
25,b,https://i.imgur.com/zCwxuZa.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
26,b,https://i.imgur.com/naMkoyh.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
27,d,https://i.imgur.com/fMdpXiN.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
28,b,https://i.imgur.com/gqUmRZi.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
29,c,https://i.imgur.com/Ggo2nFL.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
31,b,https://i.imgur.com/5tJOPTS.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
32,d,https://i.imgur.com/kuh83HC.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
33,d,https://i.imgur.com/qcWgvzO.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
34,c,https://i.imgur.com/22ha2Mc.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
35,d,https://i.imgur.com/8YdTt8Q.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
36,a,https://i.imgur.com/ZurOvdA.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
37,d,https://i.imgur.com/Sc4tarY.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
38,a,https://i.imgur.com/Zd1JL3V.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
39,a,https://i.imgur.com/2dlg9AQ.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
40,a,https://i.imgur.com/ek60SWm.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
41,b,https://i.imgur.com/iaG3O0i.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
42,c,https://i.imgur.com/1PIeiHy.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
43,d,https://i.imgur.com/oNlKqnY.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
44,a,https://i.imgur.com/OISS6PB.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
45,b,https://i.imgur.com/9ZGBGzd.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
46,b,https://i.imgur.com/UyKhpJQ.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
47,a,https://i.imgur.com/rGKd4KZ.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
48,a,https://i.imgur.com/NKng7zL.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
49,c,https://i.imgur.com/PC9u5GJ.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
50,a,https://i.imgur.com/zc5l3VO.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
51,b,https://i.imgur.com/ajzpjYk.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
52,c,https://i.imgur.com/ijlfmSD.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
53,b,https://i.imgur.com/hbciaCI.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
54,c,https://i.imgur.com/YQco7DI.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
55,b,https://i.imgur.com/7aeJTff.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
57,b,https://i.imgur.com/im01ewz.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
58,c,https://i.imgur.com/KeJC8Iu.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
59,c,https://i.imgur.com/FnkHhZW.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
60,d,https://i.imgur.com/0pVXYaY.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
61,a,https://i.imgur.com/xIPrw5h.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
62,d,https://i.imgur.com/Elum8Qk.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
63,d,https://i.imgur.com/dNgYloH.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
64,a,https://i.imgur.com/3Hfi5GB.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
65,a,https://i.imgur.com/4HOlRFu.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
66,b,https://i.imgur.com/kRLP0oL.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
68,a,https://i.imgur.com/rGapywT.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
69,b,https://i.imgur.com/se3qwqV.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
70,b,https://i.imgur.com/shsHhZ6.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
71,b,https://i.imgur.com/B0bk3de.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
72,c,https://i.imgur.com/fcLAO1p.png,locopilot_diesel,A,B,C,D,2.1,locopilot_diesel,Hindi,JEN
