correct,QuestionLink,category,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
b,https://i.imgur.com/mnr6z6w.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/2zdGadn.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/tzlcOnJ.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/N6FiRE4.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/170XuXP.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/okN1dKt.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/DMGjCoJ.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/aXplXA5.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/ktxsX1s.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/rEHR40h.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/FQ4dr7b.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/oh8QHFf.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/aAMcP0F.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/5drGfvF.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/DKr3OyQ.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/imQN8Os.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/ZOUBAKu.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/EbcPXS1.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/YvT7LOF.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/3sYDBKC.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/IeRZwYu.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/DzvalXk.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/3j5J6NY.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/d8RBaLq.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/9M3W2RG.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/WZx2ayj.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/K1EmFft.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/uu6Zt5c.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/R75fSza.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/4wRQUKq.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/SeVrvvz.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/nDrQ56t.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/dm41HaL.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/xVQJf8g.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/TlwbABg.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/jxMjEx3.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/lXHaqjN.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/DHooDH5.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/DQkh2b4.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/QetBVe3.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/UrNGuVn.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/jo9lxvh.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/Ft8pSo9.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/x0d8wJ7.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/VewMCHQ.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/iaW0rSL.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/Zl8Kp3i.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/sMD6Jnw.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/Hq1zDIL.png,4.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
