correct,QuestionLink,category,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
a,https://i.imgur.com/LgKlo5R.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/TzrgSlg.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/oxMR4Qf.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/Qv6aQKF.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/KlJqilz.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/XJoD7T8.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/KS5wUHe.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/mneZhEo.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/BaTW0hK.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/pNgyQAN.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/vr53B1p.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/AwiA4SF.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/lHp7cZl.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/ZGfjNor.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/JQcZlCI.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/Hno8qBV.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/2E92r2i.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/meZhNSp.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/3c71nk9.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/rZkOofb.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/PiE4NHV.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/4SE2IbJ.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/P5HyOJh.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/g7KohpL.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/prW1QKs.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/3K0W3PO.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/oLokxDI.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/Pd4BNah.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/kNQ5gRf.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/qMfpGzg.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/VEgWYz4.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/LVLaiaT.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/3ELDVZd.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/XYl6p4u.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/59HrtVI.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/6obU9fj.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/Bncu4MD.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/GYy45px.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/yuSMv7V.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/m3h8m65.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/1bwF2Ni.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/sKyyLpp.png,5.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
