correct,QuestionLink,category,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
c,https://i.imgur.com/IZIrIaJ.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/a2rkcaO.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/sllEoL7.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/sC9Lrwd.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/CwLbBsK.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/K53QZ6Q.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/0ee41Lq.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/ceKNSL7.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/EHUqCYf.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/Ijgs1nZ.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/PzHEuyM.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/FG2GKQt.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/gFouHdr.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/Fjs30Zm.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/yyFXWNJ.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/VH9cfFL.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/SV9u2Gc.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/x8xXFYf.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/aUe4qyZ.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/drJ8mfw.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/bLv4TUs.png,23.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
