correct,QuestionLink,category,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
a,https://i.imgur.com/MCkJgH7.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/rzGSGde.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/8xSUN69.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/Cp5QGKB.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/jmlBj68.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/V0fXZdk.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/fP3Udb6.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/N2kRc5R.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/sGil2eX.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/0FBso0N.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/OKOYLP1.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/kuPHKfO.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/BhI0D6j.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/asbCM7D.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/IV4Bwa3.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/GxXZEVF.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/RG5g8Ll.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/o03ydQK.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/HquopRO.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/JHcsG54.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/iZW5Wa0.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/5C5jFfi.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/tcQUuzs.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/y6Yqbgb.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/6NQiZmb.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/MaGKKP4.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/Dh1dRoA.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/wKzPldJ.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/D2ZNER4.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/BrdpF9q.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/ppbQZm3.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/KOs2lk5.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/zC9wqZ3.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/Qrnr8ZS.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/xeTF0Db.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/2QPK37X.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/mHOPoGy.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/7XoE4dn.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/XusP5Lp.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/2TDVuCO.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/1aaDyYd.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/WXWT0ce.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/6idrCrd.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/YGzAqrk.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/GCaoXqJ.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/JWXTgVJ.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/pGj31D6.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/cGaLV7y.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/ySx2Og3.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/SZzu5Pf.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/A4CaJHa.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/gkYRA25.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/0Zmbiov.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/tWf9e5L.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/Ja2RSpd.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/nGeG0gB.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/V5z5B4N.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/iBDOBAs.png,7.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
