correct,QuestionLink,category,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
d,https://i.imgur.com/ekcVDPy.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/NvMrXOV.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/rwjA1HU.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/8YLsBDl.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/TxShdPH.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/jHNp2uE.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/jt6GGRF.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/vRONStl.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/W7hw2gS.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/511UA8d.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/KcNn7QS.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/xDIumzf.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/RSM1lHg.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/8hJISaP.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/kJ5PnfR.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/kPEZOAX.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/iZ8v586.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/mwl59MH.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/GBGXuPX.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/Ah2qj0m.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/dLDg0dN.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/Q5Baz3f.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
a,https://i.imgur.com/feknKRC.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/qLDbhap.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
d,https://i.imgur.com/JLKpESs.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
c,https://i.imgur.com/C7hodNy.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
b,https://i.imgur.com/gOp7gPO.png,24.1,groupxmath,Hindi,Groupx,A,B,C,D,Lucent
