,QuestionLink,category,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,usedfor
0,https://i.imgur.com/usXKaYM.png,1.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
1,https://i.imgur.com/eDgjSk8.png,1.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
2,https://i.imgur.com/ceflxim.png,1.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
3,https://i.imgur.com/vRN0Vc8.png,6.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
4,https://i.imgur.com/DLJVKbO.png,6.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
5,https://i.imgur.com/skdbjA8.png,6.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
6,https://i.imgur.com/Wm0QJN0.png,6.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
7,https://i.imgur.com/Q488Awz.png,6.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
8,https://i.imgur.com/ba4U3p9.png,6.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
9,https://i.imgur.com/Nlrtcm3.png,6.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
10,https://i.imgur.com/T76geH5.png,1.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
11,https://i.imgur.com/AK3qam8.png,4.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
12,https://i.imgur.com/W6NqB57.png,4.1,d,English,groupxen,A,B,C,D,Arihant,Groupx
13,https://i.imgur.com/A7pQqhK.png,4.1,d,English,groupxen,A,B,C,D,Arihant,Groupx
14,https://i.imgur.com/NbyxSdv.png,4.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
15,https://i.imgur.com/4MgZ22U.png,8.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
16,https://i.imgur.com/ZUkHmG8.png,6.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
17,https://i.imgur.com/MgDwpjR.png,6.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
18,https://i.imgur.com/IUZNQn4.png,14.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
19,https://i.imgur.com/VntmEIM.png,14.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
