,QuestionLink,category,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,usedfor
0,https://i.imgur.com/tx2vdi3.png,1.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
1,https://i.imgur.com/QxByE8D.png,1.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
2,https://i.imgur.com/NbudVlr.png,1.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
3,https://i.imgur.com/3Ytowxo.png,1.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
4,https://i.imgur.com/scWygjM.png,6.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
5,https://i.imgur.com/9UcJ5nY.png,6.1,d,English,groupxen,A,B,C,D,Arihant,Groupx
6,https://i.imgur.com/ffLpG7R.png,4.1,d,English,groupxen,A,B,C,D,Arihant,Groupx
7,https://i.imgur.com/9i37pZh.png,4.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
8,https://i.imgur.com/a6dI1aF.png,4.1,d,English,groupxen,A,B,C,D,Arihant,Groupx
9,https://i.imgur.com/UW34H5R.png,29.1,d,English,groupxen,A,B,C,D,Arihant,Groupx
10,https://i.imgur.com/YP4ImW4.png,29.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
11,https://i.imgur.com/5z40u8l.png,29.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
12,https://i.imgur.com/Iu6Ek0x.png,29.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
13,https://i.imgur.com/i52jYDy.png,29.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
14,https://i.imgur.com/HrULq1Z.png,11.1,d,English,groupxen,A,B,C,D,Arihant,Groupx
15,https://i.imgur.com/b5YyVhq.png,4.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
16,https://i.imgur.com/kJd6Nim.png,4.1,d,English,groupxen,A,B,C,D,Arihant,Groupx
17,https://i.imgur.com/WD8vzMB.png,4.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
18,https://i.imgur.com/FJdhjS4.png,14.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
19,https://i.imgur.com/IuaJr0G.png,14.1,d,English,groupxen,A,B,C,D,Arihant,Groupx
