,QuestionLink,category,correct,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
0,https://i.imgur.com/u7ENdKF.png,1.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
1,https://i.imgur.com/q6CqndG.png,1.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
2,https://i.imgur.com/izhT0iU.png,1.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
3,https://i.imgur.com/8PG7HD9.png,1.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
4,https://i.imgur.com/caDve4Q.png,1.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
5,https://i.imgur.com/FVnF97v.png,4.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
6,https://i.imgur.com/qO8r6Ve.png,4.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
7,https://i.imgur.com/Z4FLwzn.png,4.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
8,https://i.imgur.com/Fz6gdCJ.png,4.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
9,https://i.imgur.com/NKHjWDI.png,4.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
10,https://i.imgur.com/cZB5wvf.png,4.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
11,https://i.imgur.com/HyExkj8.png,29.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
12,https://i.imgur.com/KAuP3lv.png,29.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
13,https://i.imgur.com/IlE4ZT3.png,26.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
14,https://i.imgur.com/bRfRqc5.png,14.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
15,https://i.imgur.com/NLaI5T3.png,14.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
16,https://i.imgur.com/gsOchdn.png,6.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
17,https://i.imgur.com/rHMfsty.png,6.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
18,https://i.imgur.com/gOEAO5A.png,6.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
19,https://i.imgur.com/YZ7pxQ1.png,23.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
