,QuestionLink,category,correct,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
0,https://i.imgur.com/afwWIck.png,1.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
1,https://i.imgur.com/i6csWgM.png,1.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
2,https://i.imgur.com/nGOAYW8.png,1.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
3,https://i.imgur.com/uKbP5Ql.png,6.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
4,https://i.imgur.com/HgVZWmf.png,6.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
5,https://i.imgur.com/B4vbBjF.png,6.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
6,https://i.imgur.com/hcuFVLF.png,6.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
7,https://i.imgur.com/dJxDbZf.png,6.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
8,https://i.imgur.com/2HMunXE.png,4.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
9,https://i.imgur.com/sXAXOfL.png,4.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
10,https://i.imgur.com/pIVOeII.png,11.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
11,https://i.imgur.com/F0kY4bx.png,2.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
12,https://i.imgur.com/Un5Ls1l.png,19.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
13,https://i.imgur.com/d9JIb3u.png,26.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
14,https://i.imgur.com/CtSrF3A.png,6.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
15,https://i.imgur.com/zdSld5J.png,6.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
16,https://i.imgur.com/1AaT7Wy.png,6.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
17,https://i.imgur.com/KBvOCdu.png,6.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
18,https://i.imgur.com/UqUXwqd.png,4.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
19,https://i.imgur.com/Ke5Zrl0.png,4.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
