,category,correct,QuestionLink,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
0,6.1,a,https://i.imgur.com/ViKkcXc.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
1,15.1,a,https://i.imgur.com/5dBFvPg.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
2,4.1,b,https://i.imgur.com/j0Nl1p5.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
3,4.1,d,https://i.imgur.com/uxGXVVK.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
4,6.1,d,https://i.imgur.com/ZuPAKBK.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
5,15.1,b,https://i.imgur.com/AykEHaq.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
6,14.1,b,https://i.imgur.com/J46BzAm.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
7,14.1,d,https://i.imgur.com/zTeMIwW.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
8,4.1,b,https://i.imgur.com/xUXGjCD.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
9,15.1,b,https://i.imgur.com/GKFcohN.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
10,2.1,d,https://i.imgur.com/ZnSzVWp.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
11,29.1,c,https://i.imgur.com/zz5bquc.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
12,23.1,d,https://i.imgur.com/jG3zuGB.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
13,26.1,c,https://i.imgur.com/zXyIjIG.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
14,4.1,b,https://i.imgur.com/GCvzYwQ.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
15,4.1,b,https://i.imgur.com/SjwOnNC.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
16,4.1,a,https://i.imgur.com/aBpBr8n.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
17,1.1,b,https://i.imgur.com/ye3ernf.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
18,1.1,c,https://i.imgur.com/dbPiRos.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
19,1.1,b,https://i.imgur.com/VK6nFYB.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
