,QuestionLink,category,correct,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
0,https://i.imgur.com/Tjw0Z6M.png,1.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
1,https://i.imgur.com/Zd7nSUz.png,1.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
2,https://i.imgur.com/503dclp.png,1.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
3,https://i.imgur.com/3nJ9liz.png,1.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
4,https://i.imgur.com/9JA0kja.png,1.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
5,https://i.imgur.com/Ulxjx2z.png,6.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
6,https://i.imgur.com/TpV1f4x.png,6.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
7,https://i.imgur.com/KTL5xjt.png,6.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
8,https://i.imgur.com/zzuadBP.png,6.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
9,https://i.imgur.com/qA2Fzok.png,4.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
10,https://i.imgur.com/nMnW5yF.png,4.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
11,https://i.imgur.com/veuLeD9.png,23.1,a,groupxen,Hindi,Groupx,A,B,C,D,Arihant
12,https://i.imgur.com/z7St0Fi.png,26.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
13,https://i.imgur.com/f0DC1G7.png,4.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
14,https://i.imgur.com/2KZJCAv.png,4.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
15,https://i.imgur.com/tRXrGjj.png,4.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
16,https://i.imgur.com/WXz4biE.png,4.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
17,https://i.imgur.com/WRufhNS.png,4.1,d,groupxen,Hindi,Groupx,A,B,C,D,Arihant
18,https://i.imgur.com/3DQcxyV.png,14.1,b,groupxen,Hindi,Groupx,A,B,C,D,Arihant
19,https://i.imgur.com/agtuJMV.png,14.1,c,groupxen,Hindi,Groupx,A,B,C,D,Arihant
