,category,correct,QuestionLink,sectionType,lang,usedfor,optionA,optionB,optionC,optionD,source
0,6.1,c,https://i.imgur.com/QW2dOpP.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
1,6.1,d,https://i.imgur.com/4vSM8LC.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
2,6.1,a,https://i.imgur.com/B8WWfb7.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
3,2.1,a,https://i.imgur.com/0ER0ifV.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
4,2.1,a,https://i.imgur.com/hJwRixP.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
5,29.1,a,https://i.imgur.com/CxCGGZY.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
6,29.1,c,https://i.imgur.com/FvbWvOa.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
7,29.1,c,https://i.imgur.com/rAKMSdp.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
8,4.1,a,https://i.imgur.com/I5RY7nH.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
9,15.1,c,https://i.imgur.com/rtCKB6Q.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
10,4.1,a,https://i.imgur.com/HkyTCjz.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
11,4.1,b,https://i.imgur.com/jFXMtmw.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
12,15.1,b,https://i.imgur.com/3I9j3Bd.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
13,15.1,b,https://i.imgur.com/jayD56C.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
14,15.1,d,https://i.imgur.com/HJ6kHon.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
15,1.1,d,https://i.imgur.com/o4ZuFsH.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
16,1.1,a,https://i.imgur.com/KF5fncY.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
17,1.1,c,https://i.imgur.com/WGeekBg.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
18,1.1,a,https://i.imgur.com/QSC7NVm.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
19,1.1,a,https://i.imgur.com/mdOZfU8.png,groupxen,Hindi,Groupx,A,B,C,D,Arihant
