,QuestionLink,category,correct,lang,sectionType,optionA,optionB,optionC,optionD,source,usedfor
0,https://i.imgur.com/nze7AWC.png,1.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
1,https://i.imgur.com/ogYb6HC.png,1.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
2,https://i.imgur.com/HTACC0z.png,1.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
3,https://i.imgur.com/hZn2yNU.png,1.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
4,https://i.imgur.com/lNHIbSj.png,6.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
5,https://i.imgur.com/e5IFOPt.png,6.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
6,https://i.imgur.com/zv1Y57S.png,6.1,d,English,groupxen,A,B,C,D,Arihant,Groupx
7,https://i.imgur.com/Zp2jJe5.png,8.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
8,https://i.imgur.com/1BeVinX.png,11.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
9,https://i.imgur.com/KdZtIpk.png,11.1,d,English,groupxen,A,B,C,D,Arihant,Groupx
10,https://i.imgur.com/KZLJZri.png,6.1,a,English,groupxen,A,B,C,D,Arihant,Groupx
11,https://i.imgur.com/YlQjOB9.png,6.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
12,https://i.imgur.com/lTnVDwo.png,6.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
13,https://i.imgur.com/23K8FhD.png,6.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
14,https://i.imgur.com/98Zvtyi.png,4.1,d,English,groupxen,A,B,C,D,Arihant,Groupx
15,https://i.imgur.com/F1Hbz25.png,4.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
16,https://i.imgur.com/QJoCB30.png,26.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
17,https://i.imgur.com/CvPRm0b.png,23.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
18,https://i.imgur.com/LikZ4Wh.png,29.1,b,English,groupxen,A,B,C,D,Arihant,Groupx
19,https://i.imgur.com/f49xSCw.png,29.1,c,English,groupxen,A,B,C,D,Arihant,Groupx
